date,month_num,cluster_id,recent_cases,total_cases,cases,location,latitude,longitude,source_file,source_folder
2013-05-23,5.0,1.0,,119.0,4.0,tampines street 83 (block 864a),1.3546609,103.935647,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,1.0,,119.0,1.0,tampines street 83 (block 867a),1.355649,103.933757,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,1.0,,119.0,1.0,tampines street 83 (block 885),1.351142,103.932848,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,1.0,,119.0,2.0,tampines street 84 (block 871),1.354413,103.932566,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,1.0,,119.0,1.0,tampines street 84 (block 871a),1.354373,103.931773,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,1.0,,119.0,1.0,tampines street 84 (block 872),1.3541859,103.932314,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,1.0,,119.0,2.0,tampines street 84 (block 874),1.353675,103.931932,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,1.0,,119.0,2.0,tampines street 84 (block 882),1.352018,103.933357,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,1.0,,119.0,1.0,tampines street 84 (block 883),1.351921,103.932892,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,1.0,yishun avenue 6 (block 283),1.43944,103.838945,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,3.0,yishun avenue 6 (block 286),1.440141,103.8386244,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,4.0,yishun avenue 6 (block 288),1.439977,103.837548,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,3.0,yishun avenue 9 (block 245),1.4345701,103.8419256,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,3.0,yishun avenue 9 (block 246),1.435048,103.8424393,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,2.0,yishun avenue 9 (block 247),1.4351045,103.8420234,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,3.0,yishun avenue 9 (block 248),1.435696,103.8423094,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,5.0,yishun avenue 9 (block 249),1.4353686,103.8417983,130523-clusters.csv,incorrect_latitude_longitude
