planning_area,subzone,population,total_0_4,total_5_9,total_10_14,total_15_19,total_20_24,total_25_29,total_30_34,total_35_39,total_40_44,total_45_49,total_50_54,total_55_59,total_60_64,total_65_69,total_70_74,total_75_79,total_80_84,total_85_89,total_90_over,pop_density_pct,pop_elderly,pct_elderly
BUKIT BATOK,BUKIT BATOK EAST,12690.0,340.0,340.0,540.0,600.0,810.0,960.0,880.0,810.0,800.0,970.0,930.0,1160.0,1220.0,1060.0,640.0,280.0,200.0,110.0,60.0,0.3149,3570.0,28.13
BUKIT BATOK,BUKIT BATOK SOUTH,14930.0,690.0,710.0,760.0,840.0,1110.0,1190.0,1240.0,1130.0,930.0,1010.0,1180.0,1310.0,1160.0,830.0,440.0,170.0,140.0,70.0,30.0,0.3705,2840.0,19.02
BUKIT BATOK,BUKIT BATOK WEST,15000.0,660.0,640.0,710.0,790.0,950.0,990.0,1180.0,1100.0,1010.0,1050.0,1100.0,1180.0,1220.0,1070.0,640.0,310.0,200.0,130.0,80.0,0.3722,3650.0,24.33
BUKIT BATOK,GOMBAK,9930.0,350.0,490.0,590.0,590.0,620.0,700.0,610.0,720.0,840.0,800.0,750.0,710.0,630.0,550.0,400.0,240.0,170.0,120.0,50.0,0.2464,2160.0,21.75
BUKIT BATOK,GUILIN,12940.0,430.0,570.0,650.0,750.0,830.0,870.0,850.0,940.0,940.0,1100.0,1110.0,1100.0,920.0,750.0,470.0,270.0,200.0,120.0,70.0,0.3211,2800.0,21.64
BUKIT BATOK,HILLVIEW,19300.0,560.0,720.0,1040.0,1350.0,1600.0,1490.0,1060.0,1010.0,1200.0,1640.0,1840.0,1860.0,1400.0,1080.0,680.0,360.0,220.0,130.0,70.0,0.479,3940.0,20.41
BUKIT BATOK,HONG KAH NORTH,26150.0,870.0,930.0,1210.0,1440.0,1680.0,2110.0,1800.0,1650.0,1630.0,1900.0,2040.0,2370.0,2460.0,1810.0,1100.0,540.0,340.0,180.0,90.0,0.6489,6520.0,24.93
BUKIT MERAH,ALEXANDRA HILL,13490.0,370.0,420.0,570.0,630.0,790.0,870.0,840.0,720.0,750.0,950.0,960.0,1070.0,1140.0,1070.0,950.0,540.0,410.0,280.0,170.0,0.3348,4560.0,33.8
BUKIT MERAH,ALEXANDRA NORTH,2620.0,160.0,200.0,160.0,110.0,100.0,130.0,240.0,320.0,330.0,300.0,180.0,130.0,100.0,70.0,40.0,30.0,20.0,10.0,,0.065,270.0,10.31
BUKIT MERAH,BUKIT HO SWEE,14390.0,460.0,570.0,560.0,500.0,620.0,820.0,930.0,980.0,960.0,1010.0,970.0,1120.0,1270.0,1110.0,930.0,630.0,490.0,270.0,190.0,0.3571,4890.0,33.98
BUKIT MERAH,BUKIT MERAH,1110.0,30.0,50.0,60.0,60.0,70.0,60.0,60.0,60.0,70.0,80.0,90.0,90.0,70.0,80.0,90.0,50.0,30.0,10.0,10.0,0.0275,340.0,30.63
BUKIT MERAH,CITY TERMINALS,20.0,,,,,,,,,,,,,,,,,,,,0.0005,0.0,0.0
BUKIT MERAH,DEPOT ROAD,6540.0,350.0,400.0,380.0,280.0,280.0,310.0,470.0,570.0,670.0,620.0,440.0,370.0,340.0,330.0,320.0,190.0,120.0,60.0,40.0,0.1623,1400.0,21.41
BUKIT MERAH,EVERTON PARK,7810.0,220.0,290.0,310.0,310.0,330.0,470.0,510.0,540.0,590.0,680.0,570.0,520.0,580.0,620.0,500.0,310.0,250.0,130.0,80.0,0.1938,2470.0,31.63
BUKIT MERAH,HENDERSON HILL,13320.0,440.0,450.0,490.0,530.0,660.0,860.0,930.0,780.0,780.0,890.0,1010.0,1050.0,1140.0,970.0,890.0,550.0,500.0,280.0,150.0,0.3306,4480.0,33.63
BUKIT MERAH,KAMPONG TIONG BAHRU,9010.0,220.0,240.0,340.0,350.0,430.0,530.0,490.0,490.0,540.0,650.0,690.0,720.0,780.0,790.0,700.0,420.0,360.0,170.0,100.0,0.2236,3320.0,36.85
BUKIT MERAH,MARITIME SQUARE,3620.0,200.0,240.0,190.0,170.0,110.0,140.0,180.0,360.0,430.0,400.0,310.0,240.0,190.0,140.0,120.0,70.0,70.0,50.0,40.0,0.0898,680.0,18.78
BUKIT MERAH,REDHILL,10620.0,490.0,640.0,660.0,500.0,470.0,630.0,650.0,750.0,1080.0,900.0,790.0,730.0,620.0,510.0,440.0,270.0,230.0,120.0,140.0,0.2635,2330.0,21.94
BUKIT MERAH,SINGAPORE GENERAL HOSPITAL,10.0,,,,,,,,,,,,,,,,,,,,0.0002,0.0,0.0
BUKIT MERAH,TELOK BLANGAH DRIVE,19320.0,1190.0,870.0,740.0,710.0,710.0,1090.0,2010.0,1680.0,1550.0,1390.0,1180.0,1230.0,1200.0,1150.0,1110.0,660.0,480.0,260.0,120.0,0.4795,4980.0,25.78
BUKIT MERAH,TELOK BLANGAH RISE,12150.0,350.0,390.0,430.0,510.0,580.0,740.0,660.0,680.0,840.0,920.0,850.0,860.0,1030.0,1120.0,970.0,580.0,360.0,180.0,100.0,0.3015,4340.0,35.72
BUKIT MERAH,TELOK BLANGAH WAY,9230.0,240.0,340.0,380.0,350.0,380.0,480.0,460.0,540.0,690.0,770.0,680.0,740.0,820.0,710.0,620.0,420.0,310.0,180.0,110.0,0.2291,3170.0,34.34
BUKIT MERAH,TIONG BAHRU,12890.0,690.0,670.0,560.0,430.0,440.0,720.0,1080.0,1120.0,1250.0,1020.0,800.0,730.0,790.0,810.0,690.0,440.0,340.0,170.0,150.0,0.3199,3390.0,26.3
BUKIT MERAH,TIONG BAHRU STATION,15120.0,560.0,690.0,830.0,700.0,670.0,1050.0,1010.0,1060.0,1230.0,1250.0,1110.0,1070.0,1050.0,750.0,780.0,480.0,440.0,230.0,140.0,0.3752,3870.0,25.6
BUKIT PANJANG,BANGKIT,22270.0,680.0,730.0,930.0,1190.0,1520.0,1900.0,1560.0,1230.0,1340.0,1540.0,1730.0,2190.0,2020.0,1440.0,970.0,580.0,390.0,230.0,120.0,0.5527,5750.0,25.82
BUKIT PANJANG,DAIRY FARM,6940.0,310.0,390.0,440.0,510.0,450.0,470.0,460.0,440.0,560.0,640.0,560.0,550.0,430.0,310.0,210.0,90.0,70.0,30.0,20.0,0.1722,1160.0,16.71
BUKIT PANJANG,FAJAR,27820.0,1530.0,1680.0,1580.0,1590.0,1720.0,2140.0,2350.0,2240.0,1970.0,1980.0,1850.0,2140.0,1820.0,1380.0,870.0,470.0,310.0,150.0,70.0,0.6904,5070.0,18.22
BUKIT PANJANG,JELEBU,31310.0,930.0,1090.0,1410.0,1840.0,2440.0,2750.0,2190.0,1740.0,1840.0,2380.0,2600.0,2890.0,2660.0,1930.0,1230.0,620.0,460.0,220.0,110.0,0.777,7230.0,23.09
BUKIT PANJANG,NATURE RESERVE,3850.0,150.0,190.0,240.0,250.0,280.0,260.0,200.0,220.0,260.0,370.0,350.0,340.0,270.0,190.0,150.0,60.0,60.0,20.0,20.0,0.0955,770.0,20.0
BUKIT PANJANG,SAUJANA,25920.0,1520.0,1660.0,1460.0,1510.0,1740.0,1820.0,2130.0,2300.0,1840.0,1870.0,1710.0,1880.0,1840.0,1230.0,720.0,290.0,200.0,120.0,80.0,0.6432,4480.0,17.28
BUKIT PANJANG,SENJA,20170.0,1130.0,1360.0,1260.0,1260.0,1150.0,1190.0,1570.0,1930.0,1570.0,1730.0,1320.0,1260.0,1240.0,890.0,640.0,290.0,190.0,120.0,70.0,0.5005,3440.0,17.06
BUKIT TIMAH,ANAK BUKIT,21870.0,700.0,1080.0,1190.0,1310.0,1430.0,1660.0,1310.0,1260.0,1370.0,1640.0,1600.0,1580.0,1730.0,1400.0,1080.0,650.0,470.0,270.0,150.0,0.5427,5750.0,26.29
BUKIT TIMAH,CORONATION ROAD,6690.0,300.0,500.0,490.0,440.0,380.0,330.0,330.0,440.0,540.0,610.0,480.0,400.0,360.0,330.0,280.0,220.0,150.0,80.0,50.0,0.166,1470.0,21.97
BUKIT TIMAH,FARRER COURT,6180.0,300.0,490.0,440.0,370.0,280.0,290.0,350.0,470.0,530.0,630.0,490.0,380.0,290.0,240.0,260.0,140.0,110.0,70.0,40.0,0.1534,1150.0,18.61
BUKIT TIMAH,HILLCREST,9470.0,440.0,780.0,610.0,600.0,560.0,420.0,410.0,650.0,760.0,850.0,740.0,640.0,560.0,390.0,400.0,260.0,210.0,130.0,70.0,0.235,2020.0,21.33
BUKIT TIMAH,HOLLAND ROAD,10840.0,460.0,780.0,800.0,770.0,670.0,510.0,500.0,650.0,900.0,1080.0,920.0,700.0,560.0,500.0,410.0,260.0,200.0,100.0,70.0,0.269,2100.0,19.37
BUKIT TIMAH,LEEDON PARK,6440.0,300.0,320.0,400.0,370.0,360.0,360.0,350.0,400.0,500.0,570.0,580.0,440.0,390.0,350.0,360.0,180.0,110.0,60.0,50.0,0.1598,1500.0,23.29
BUKIT TIMAH,SWISS CLUB,5340.0,240.0,320.0,340.0,330.0,300.0,330.0,280.0,360.0,400.0,430.0,420.0,350.0,320.0,300.0,210.0,150.0,120.0,80.0,60.0,0.1325,1240.0,23.22
BUKIT TIMAH,ULU PANDAN,11020.0,400.0,630.0,680.0,650.0,640.0,660.0,570.0,580.0,800.0,930.0,820.0,830.0,740.0,710.0,660.0,310.0,230.0,130.0,60.0,0.2735,2840.0,25.77
CHANGI,CHANGI AIRPORT,10.0,,,,,,,,,,,,,,,,,,,,0.0002,0.0,0.0
CHANGI,CHANGI POINT,540.0,10.0,10.0,20.0,20.0,40.0,30.0,20.0,20.0,30.0,50.0,60.0,60.0,60.0,50.0,30.0,20.0,10.0,,10.0,0.0134,180.0,33.33
CHANGI,CHANGI WEST,1300.0,120.0,130.0,130.0,80.0,60.0,70.0,120.0,130.0,140.0,120.0,80.0,40.0,40.0,20.0,20.0,10.0,,10.0,,0.0323,100.0,7.69
CHOA CHU KANG,CHOA CHU KANG CENTRAL,22530.0,820.0,1090.0,1330.0,1430.0,1790.0,1950.0,1360.0,1470.0,1650.0,1810.0,1970.0,1990.0,1490.0,1000.0,650.0,340.0,220.0,110.0,70.0,0.5591,3880.0,17.22
CHOA CHU KANG,CHOA CHU KANG NORTH,31930.0,850.0,1120.0,1640.0,2400.0,3510.0,3060.0,1660.0,1570.0,1640.0,2280.0,3400.0,3230.0,2270.0,1410.0,850.0,430.0,330.0,220.0,80.0,0.7924,5590.0,17.51
CHOA CHU KANG,KEAT HONG,38180.0,3540.0,2660.0,2060.0,2060.0,2310.0,3260.0,4690.0,3480.0,2650.0,2430.0,2430.0,2280.0,1730.0,1120.0,700.0,330.0,240.0,150.0,60.0,0.9475,4330.0,11.34
CHOA CHU KANG,PENG SIANG,34720.0,1660.0,1750.0,1760.0,2040.0,2570.0,2980.0,2750.0,2650.0,2300.0,2430.0,2670.0,2880.0,2360.0,1730.0,1130.0,450.0,310.0,200.0,110.0,0.8616,6290.0,18.12
CHOA CHU KANG,TECK WHYE,24320.0,760.0,760.0,1010.0,1350.0,1910.0,2310.0,1600.0,1370.0,1260.0,1640.0,1910.0,2440.0,2070.0,1570.0,1040.0,620.0,400.0,200.0,110.0,0.6035,6010.0,24.71
CHOA CHU KANG,YEW TEE,40390.0,1360.0,1890.0,2400.0,2810.0,3370.0,3060.0,2390.0,2660.0,3140.0,3560.0,3700.0,3330.0,2840.0,1760.0,1010.0,510.0,350.0,160.0,100.0,1.0023,6730.0,16.66
CLEMENTI,CLEMENTI CENTRAL,14000.0,480.0,610.0,700.0,660.0,710.0,880.0,830.0,910.0,1050.0,1170.0,970.0,990.0,990.0,1000.0,910.0,510.0,340.0,190.0,110.0,0.3474,4050.0,28.93
CLEMENTI,CLEMENTI NORTH,28810.0,1390.0,1220.0,1160.0,1130.0,1290.0,1540.0,2190.0,2350.0,2210.0,2160.0,1880.0,1980.0,1840.0,2040.0,1970.0,1030.0,820.0,390.0,230.0,0.715,8320.0,28.88
CLEMENTI,CLEMENTI WEST,15260.0,480.0,630.0,740.0,760.0,840.0,810.0,820.0,1010.0,1230.0,1270.0,1210.0,1150.0,1210.0,1170.0,960.0,470.0,310.0,140.0,70.0,0.3787,4330.0,28.37
CLEMENTI,CLEMENTI WOODS,16000.0,680.0,740.0,800.0,810.0,830.0,870.0,1060.0,1250.0,1190.0,1200.0,1110.0,1180.0,1060.0,1060.0,1000.0,530.0,380.0,170.0,90.0,0.3971,4290.0,26.81
CLEMENTI,FABER,5360.0,270.0,430.0,440.0,320.0,280.0,290.0,370.0,470.0,540.0,500.0,360.0,290.0,220.0,220.0,160.0,110.0,60.0,40.0,20.0,0.133,830.0,15.49
CLEMENTI,PANDAN,20.0,,,,,,,,,,,,,,,,,,,,0.0005,0.0,0.0
