planning_area,subzone,population,total_0_4,total_5_9,total_10_14,total_15_19,total_20_24,total_25_29,total_30_34,total_35_39,total_40_44,total_45_49,total_50_54,total_55_59,total_60_64,total_65_69,total_70_74,total_75_79,total_80_84,total_85_89,total_90_over,pop_density_pct,pop_elderly,pct_elderly
JURONG WEST,WENYA,8280.0,440.0,610.0,670.0,540.0,380.0,460.0,500.0,820.0,900.0,740.0,540.0,420.0,390.0,330.0,220.0,120.0,80.0,60.0,50.0,0.2055,1250.0,15.1
JURONG WEST,YUNNAN,67500.0,2190.0,2830.0,3680.0,4370.0,5440.0,6130.0,4240.0,4280.0,4810.0,5130.0,5550.0,5790.0,4800.0,3690.0,2340.0,1080.0,650.0,310.0,190.0,1.6751,13060.0,19.35
KALLANG,BENDEMEER,37570.0,1900.0,1760.0,1460.0,1370.0,1490.0,2310.0,3280.0,3240.0,3070.0,2740.0,2350.0,2380.0,2690.0,2500.0,1990.0,1220.0,940.0,500.0,370.0,0.9323,10210.0,27.18
KALLANG,BOON KENG,11790.0,410.0,450.0,410.0,500.0,550.0,760.0,860.0,800.0,810.0,850.0,880.0,910.0,970.0,840.0,710.0,410.0,370.0,210.0,120.0,0.2926,3630.0,30.79
KALLANG,CRAWFORD,8380.0,220.0,200.0,240.0,260.0,330.0,430.0,400.0,390.0,460.0,550.0,620.0,810.0,860.0,790.0,730.0,440.0,350.0,180.0,130.0,0.208,3480.0,41.53
KALLANG,GEYLANG BAHRU,11280.0,270.0,330.0,440.0,530.0,600.0,660.0,660.0,630.0,780.0,940.0,940.0,980.0,940.0,810.0,670.0,430.0,360.0,200.0,120.0,0.2799,3530.0,31.29
KALLANG,KALLANG BAHRU,20.0,,,,,,,,,,,,,,,,,,,,0.0005,0.0,0.0
KALLANG,KAMPONG BUGIS,920.0,40.0,20.0,20.0,40.0,50.0,100.0,80.0,70.0,60.0,70.0,50.0,60.0,90.0,70.0,60.0,20.0,10.0,10.0,10.0,0.0228,270.0,29.35
KALLANG,KAMPONG JAVA,10530.0,330.0,450.0,460.0,450.0,520.0,640.0,660.0,710.0,830.0,920.0,780.0,790.0,760.0,700.0,650.0,350.0,300.0,140.0,100.0,0.2613,3000.0,28.49
KALLANG,LAVENDER,9690.0,350.0,400.0,430.0,430.0,430.0,580.0,640.0,670.0,770.0,870.0,720.0,750.0,730.0,640.0,540.0,290.0,250.0,110.0,90.0,0.2405,2650.0,27.35
KALLANG,TANJONG RHU,11110.0,410.0,530.0,630.0,700.0,590.0,500.0,600.0,790.0,1050.0,1200.0,990.0,820.0,690.0,580.0,420.0,270.0,180.0,80.0,70.0,0.2757,2290.0,20.61
LIM CHU KANG,LIM CHU KANG,110.0,10.0,,10.0,10.0,10.0,10.0,,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,,,,,0.0027,30.0,27.27
MANDAI,MANDAI ESTATE,2090.0,60.0,90.0,120.0,130.0,170.0,170.0,120.0,130.0,140.0,190.0,160.0,180.0,150.0,90.0,80.0,40.0,30.0,20.0,10.0,0.0519,420.0,20.1
MARINE PARADE,KATONG,9360.0,390.0,500.0,490.0,500.0,500.0,560.0,490.0,670.0,830.0,880.0,710.0,670.0,600.0,500.0,410.0,250.0,210.0,130.0,90.0,0.2323,2190.0,23.4
MARINE PARADE,MARINE PARADE,26880.0,1060.0,1420.0,1390.0,1300.0,1320.0,1330.0,1320.0,1730.0,2100.0,2360.0,2010.0,1870.0,1770.0,1520.0,1550.0,1050.0,960.0,500.0,320.0,0.6671,7670.0,28.53
MARINE PARADE,MOUNTBATTEN,9980.0,450.0,490.0,540.0,560.0,570.0,610.0,580.0,680.0,800.0,910.0,720.0,740.0,650.0,540.0,520.0,250.0,170.0,120.0,90.0,0.2477,2340.0,23.45
MUSEUM,BRAS BASAH,10.0,,,,,,,,,,,,,,,,,,,,0.0002,0.0,0.0
MUSEUM,DHOBY GHAUT,320.0,10.0,20.0,,10.0,10.0,20.0,50.0,60.0,50.0,30.0,20.0,20.0,10.0,10.0,10.0,,,,,0.0079,30.0,9.38
MUSEUM,FORT CANNING,190.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,30.0,20.0,20.0,10.0,10.0,10.0,,,,,0.0047,30.0,15.79
NEWTON,CAIRNHILL,3880.0,180.0,260.0,240.0,170.0,170.0,190.0,240.0,320.0,360.0,390.0,320.0,270.0,230.0,190.0,170.0,70.0,60.0,40.0,30.0,0.0963,790.0,20.36
NEWTON,GOODWOOD PARK,1260.0,70.0,140.0,90.0,60.0,40.0,60.0,80.0,100.0,130.0,130.0,80.0,90.0,60.0,50.0,40.0,20.0,20.0,10.0,10.0,0.0313,210.0,16.67
NEWTON,ISTANA NEGARA,60.0,,,,,,,,,,,,,,,,,,,,0.0015,0.0,0.0
NEWTON,MONK'S HILL,1030.0,60.0,80.0,60.0,50.0,50.0,50.0,50.0,80.0,100.0,110.0,80.0,80.0,50.0,40.0,40.0,30.0,20.0,10.0,10.0,0.0256,200.0,19.42
NEWTON,NEWTON CIRCUS,250.0,10.0,20.0,20.0,10.0,10.0,10.0,10.0,20.0,30.0,30.0,30.0,20.0,10.0,10.0,10.0,,,,,0.0062,30.0,12.0
NEWTON,ORANGE GROVE,1790.0,70.0,90.0,110.0,80.0,70.0,80.0,90.0,100.0,150.0,180.0,170.0,150.0,130.0,120.0,100.0,40.0,30.0,20.0,10.0,0.0444,450.0,25.14
NORTH-EASTERN ISLANDS,NORTH-EASTERN ISLANDS,50.0,,,,,,,,,,,,,,,,,,,,0.0012,0.0,0.0
NOVENA,BALESTIER,32430.0,1320.0,1430.0,1460.0,1390.0,1620.0,2000.0,2420.0,2410.0,2510.0,2730.0,2390.0,2320.0,2240.0,1900.0,1640.0,1010.0,850.0,500.0,300.0,0.8048,8440.0,26.03
NOVENA,DUNEARN,3960.0,140.0,210.0,280.0,260.0,260.0,220.0,170.0,190.0,260.0,330.0,330.0,310.0,250.0,220.0,190.0,140.0,100.0,70.0,40.0,0.0983,1010.0,25.51
NOVENA,MALCOLM,2950.0,150.0,220.0,210.0,180.0,140.0,140.0,130.0,170.0,250.0,270.0,200.0,220.0,170.0,160.0,140.0,90.0,60.0,50.0,40.0,0.0732,710.0,24.07
NOVENA,MOULMEIN,9300.0,530.0,1000.0,630.0,400.0,340.0,390.0,510.0,860.0,1130.0,960.0,630.0,500.0,370.0,370.0,270.0,160.0,120.0,80.0,40.0,0.2308,1410.0,15.16
NOVENA,MOUNT PLEASANT,690.0,30.0,30.0,40.0,40.0,50.0,50.0,40.0,40.0,20.0,40.0,50.0,70.0,50.0,50.0,40.0,20.0,10.0,10.0,10.0,0.0171,190.0,27.54
ORCHARD,BOULEVARD,410.0,20.0,20.0,20.0,10.0,10.0,20.0,30.0,30.0,30.0,40.0,20.0,20.0,40.0,40.0,20.0,10.0,10.0,,,0.0102,120.0,29.27
ORCHARD,SOMERSET,140.0,10.0,10.0,,,10.0,10.0,10.0,10.0,10.0,10.0,20.0,,10.0,,10.0,,,,,0.0035,20.0,14.29
ORCHARD,TANGLIN,370.0,20.0,20.0,30.0,20.0,10.0,10.0,20.0,30.0,40.0,40.0,30.0,30.0,20.0,20.0,20.0,10.0,10.0,,,0.0092,80.0,21.62
OUTRAM,CHINA SQUARE,1430.0,30.0,30.0,30.0,30.0,50.0,70.0,80.0,110.0,90.0,120.0,90.0,130.0,130.0,160.0,130.0,60.0,60.0,30.0,20.0,0.0355,590.0,41.26
OUTRAM,CHINATOWN,10490.0,450.0,580.0,520.0,310.0,370.0,550.0,690.0,860.0,1140.0,880.0,690.0,690.0,660.0,580.0,550.0,320.0,290.0,160.0,190.0,0.2603,2750.0,26.22
OUTRAM,PEARL'S HILL,6120.0,170.0,190.0,190.0,180.0,250.0,250.0,260.0,270.0,250.0,400.0,440.0,570.0,650.0,600.0,550.0,330.0,300.0,140.0,160.0,0.1519,2730.0,44.61
OUTRAM,PEOPLE'S PARK,290.0,,,,10.0,10.0,40.0,40.0,30.0,20.0,30.0,10.0,20.0,20.0,30.0,20.0,10.0,10.0,10.0,,0.0072,100.0,34.48
PASIR RIS,FLORA DRIVE,14680.0,530.0,690.0,850.0,940.0,1000.0,1030.0,860.0,910.0,1260.0,1360.0,1260.0,1200.0,980.0,670.0,480.0,260.0,210.0,110.0,80.0,0.3643,2790.0,19.01
PASIR RIS,LOYANG EAST,2140.0,60.0,60.0,100.0,150.0,160.0,190.0,110.0,100.0,130.0,170.0,170.0,190.0,200.0,150.0,100.0,50.0,30.0,20.0,10.0,0.0531,560.0,26.17
PASIR RIS,LOYANG WEST,220.0,,,,,,,,,,,,10.0,10.0,20.0,20.0,30.0,50.0,40.0,30.0,0.0055,200.0,90.91
PASIR RIS,PASIR RIS CENTRAL,32240.0,1640.0,1730.0,1670.0,1860.0,2450.0,2680.0,2390.0,2510.0,2270.0,2280.0,2590.0,2890.0,2100.0,1340.0,830.0,450.0,310.0,180.0,90.0,0.8001,5300.0,16.44
PASIR RIS,PASIR RIS DRIVE,54420.0,1730.0,1990.0,2570.0,3380.0,4960.0,5870.0,3260.0,2650.0,2880.0,3460.0,4750.0,5660.0,4380.0,2930.0,1880.0,900.0,640.0,360.0,190.0,1.3505,11280.0,20.73
PASIR RIS,PASIR RIS PARK,7620.0,460.0,580.0,540.0,500.0,460.0,360.0,530.0,730.0,910.0,790.0,640.0,470.0,250.0,180.0,120.0,60.0,30.0,20.0,10.0,0.1891,670.0,8.79
PASIR RIS,PASIR RIS WAFER FAB PARK,10.0,,,,,,,,,,,,,,,,,,,,0.0002,0.0,0.0
PASIR RIS,PASIR RIS WEST,35790.0,1260.0,1500.0,1960.0,2530.0,3420.0,3280.0,1880.0,2000.0,2350.0,2800.0,3590.0,3430.0,2280.0,1460.0,900.0,500.0,350.0,200.0,110.0,0.8882,5800.0,16.21
PAYA LEBAR,PAYA LEBAR EAST,10.0,,,,,,,,,,,,,,,,,,,,0.0002,0.0,0.0
PAYA LEBAR,PAYA LEBAR NORTH,30.0,,,,,,,,,,,,,,,,,,,,0.0007,0.0,0.0
PIONEER,BENOI SECTOR,10.0,,,,,,,,,,,,,,,,,,,,0.0002,0.0,0.0
PIONEER,GUL BASIN,10.0,,,,,,,,,,,,,,,,,,,,0.0002,0.0,0.0
PIONEER,GUL CIRCLE,20.0,,,,,,,,,,,,,,,,,,,,0.0005,0.0,0.0
PIONEER,JOO KOON,30.0,,,,,,,,,,,,,,,,,,,,0.0007,0.0,0.0
PUNGGOL,MATILDA,52200.0,5430.0,4850.0,3150.0,2210.0,1860.0,2640.0,5470.0,7490.0,5120.0,3820.0,2550.0,2140.0,1730.0,1550.0,1120.0,540.0,320.0,150.0,80.0,1.2954,5490.0,10.52
PUNGGOL,NORTHSHORE,460.0,20.0,20.0,20.0,30.0,40.0,40.0,40.0,10.0,30.0,40.0,40.0,30.0,40.0,20.0,20.0,10.0,10.0,10.0,,0.0114,110.0,23.91
PUNGGOL,PUNGGOL FIELD,48960.0,2420.0,3360.0,3940.0,3390.0,2650.0,2470.0,2760.0,4020.0,5100.0,5150.0,3390.0,2930.0,2510.0,1920.0,1430.0,680.0,470.0,240.0,140.0,1.215,7390.0,15.09
PUNGGOL,PUNGGOL TOWN CENTRE,22260.0,2820.0,2180.0,1140.0,810.0,640.0,1010.0,3030.0,3430.0,2130.0,1440.0,980.0,790.0,620.0,500.0,380.0,170.0,130.0,70.0,30.0,0.5524,1900.0,8.54
PUNGGOL,WATERWAY EAST,50580.0,5470.0,4930.0,3160.0,2140.0,1640.0,2160.0,5910.0,7240.0,5040.0,3590.0,2340.0,2000.0,1540.0,1390.0,1040.0,500.0,270.0,160.0,70.0,1.2552,4970.0,9.83
QUEENSTOWN,COMMONWEALTH,7000.0,140.0,200.0,260.0,280.0,300.0,400.0,420.0,420.0,460.0,570.0,570.0,610.0,570.0,460.0,440.0,320.0,300.0,200.0,100.0,0.1737,2390.0,34.14
QUEENSTOWN,DOVER,11080.0,350.0,540.0,650.0,630.0,650.0,670.0,550.0,690.0,890.0,950.0,910.0,820.0,700.0,610.0,620.0,370.0,310.0,130.0,60.0,0.275,2800.0,25.27
QUEENSTOWN,GHIM MOH,13850.0,850.0,660.0,560.0,500.0,590.0,790.0,1310.0,1110.0,910.0,890.0,800.0,860.0,820.0,800.0,910.0,590.0,470.0,290.0,130.0,0.3437,4010.0,28.95
QUEENSTOWN,HOLLAND DRIVE,12680.0,350.0,350.0,360.0,470.0,540.0,800.0,830.0,730.0,910.0,1070.0,970.0,950.0,850.0,860.0,910.0,670.0,570.0,300.0,180.0,0.3147,4340.0,34.23
QUEENSTOWN,KENT RIDGE,80.0,,,,,,,,,,,,,,,,,,,,0.002,0.0,0.0
QUEENSTOWN,MARGARET DRIVE,16090.0,1120.0,1200.0,800.0,570.0,590.0,860.0,1260.0,1990.0,1570.0,1130.0,890.0,850.0,790.0,740.0,690.0,380.0,330.0,210.0,130.0,0.3993,3270.0,20.32
QUEENSTOWN,MEI CHIN,15570.0,460.0,540.0,700.0,800.0,920.0,1120.0,960.0,870.0,980.0,1190.0,1250.0,1300.0,1220.0,1030.0,780.0,510.0,480.0,300.0,170.0,0.3864,4490.0,28.84
QUEENSTOWN,NATIONAL UNIVERSITY OF S'PORE,240.0,,10.0,10.0,10.0,120.0,30.0,20.0,10.0,10.0,20.0,10.0,10.0,,,,,,,,0.006,0.0,0.0
QUEENSTOWN,ONE NORTH,720.0,40.0,60.0,50.0,30.0,20.0,30.0,40.0,100.0,80.0,100.0,80.0,40.0,20.0,20.0,10.0,,,,,0.0179,50.0,6.94
QUEENSTOWN,PORT,120.0,,,10.0,,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,,,,,0.003,30.0,25.0
QUEENSTOWN,QUEENSWAY,270.0,10.0,,10.0,10.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,20.0,20.0,20.0,20.0,10.0,,,,0.0067,70.0,25.93
QUEENSTOWN,SINGAPORE POLYTECHNIC,100.0,,,,,,,,,,,,,,,,,,,,0.0025,0.0,0.0
QUEENSTOWN,TANGLIN HALT,10590.0,400.0,390.0,400.0,400.0,390.0,580.0,730.0,720.0,850.0,850.0,750.0,770.0,740.0,660.0,680.0,470.0,420.0,270.0,140.0,0.2628,3380.0,31.92
RIVER VALLEY,INSTITUTION HILL,3150.0,200.0,270.0,190.0,140.0,120.0,130.0,180.0,350.0,420.0,350.0,220.0,140.0,120.0,130.0,110.0,40.0,30.0,10.0,10.0,0.0782,450.0,14.29
RIVER VALLEY,LEONIE HILL,3120.0,120.0,160.0,180.0,180.0,130.0,180.0,190.0,240.0,300.0,390.0,300.0,220.0,190.0,130.0,110.0,50.0,30.0,20.0,10.0,0.0774,540.0,17.31
RIVER VALLEY,ONE TREE HILL,2070.0,70.0,80.0,110.0,120.0,110.0,110.0,100.0,140.0,150.0,190.0,210.0,170.0,150.0,110.0,100.0,70.0,40.0,20.0,20.0,0.0514,510.0,24.64
RIVER VALLEY,OXLEY,1490.0,50.0,70.0,70.0,70.0,50.0,100.0,100.0,110.0,140.0,130.0,120.0,110.0,90.0,70.0,80.0,50.0,30.0,10.0,20.0,0.037,350.0,23.49
RIVER VALLEY,PATERSON,240.0,10.0,20.0,10.0,10.0,10.0,10.0,20.0,30.0,30.0,30.0,20.0,20.0,10.0,10.0,10.0,,,,,0.006,30.0,12.5
ROCHOR,BENCOOLEN,1310.0,40.0,40.0,40.0,40.0,60.0,80.0,100.0,90.0,100.0,110.0,110.0,110.0,110.0,100.0,70.0,40.0,30.0,30.0,30.0,0.0325,410.0,31.3
ROCHOR,FARRER PARK,2660.0,80.0,90.0,120.0,120.0,120.0,150.0,180.0,200.0,230.0,240.0,200.0,170.0,200.0,190.0,140.0,80.0,50.0,50.0,40.0,0.066,750.0,28.2
ROCHOR,KAMPONG GLAM,120.0,,,,,,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,,,10.0,20.0,0.003,50.0,41.67
ROCHOR,LITTLE INDIA,3270.0,80.0,70.0,120.0,140.0,180.0,210.0,190.0,180.0,230.0,260.0,230.0,250.0,290.0,260.0,220.0,140.0,100.0,60.0,60.0,0.0811,1130.0,34.56
ROCHOR,MACKENZIE,110.0,,10.0,,10.0,,10.0,10.0,20.0,20.0,10.0,10.0,,,,,,,,,0.0027,0.0,0.0
ROCHOR,MOUNT EMILY,1630.0,90.0,90.0,70.0,60.0,40.0,90.0,170.0,230.0,220.0,200.0,100.0,80.0,70.0,50.0,30.0,10.0,10.0,10.0,10.0,0.0405,190.0,11.66
ROCHOR,SELEGIE,210.0,,10.0,10.0,10.0,10.0,10.0,10.0,20.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0052,70.0,33.33
ROCHOR,SUNGEI ROAD,2050.0,70.0,90.0,70.0,100.0,110.0,110.0,120.0,130.0,110.0,140.0,150.0,170.0,160.0,150.0,150.0,100.0,70.0,40.0,20.0,0.0509,690.0,33.66
ROCHOR,VICTORIA,1760.0,40.0,30.0,40.0,40.0,70.0,90.0,130.0,110.0,120.0,120.0,120.0,150.0,160.0,140.0,160.0,100.0,80.0,30.0,30.0,0.0437,700.0,39.77
SELETAR,SELETAR,280.0,10.0,10.0,20.0,20.0,30.0,10.0,,10.0,20.0,40.0,40.0,20.0,10.0,10.0,10.0,,10.0,,,0.0069,40.0,14.29
SELETAR,SELETAR AEROSPACE PARK,20.0,,,,,,,,,,,,,,,,,,,,0.0005,0.0,0.0
SEMBAWANG,ADMIRALTY,13920.0,700.0,860.0,960.0,880.0,800.0,820.0,990.0,1210.0,1220.0,1300.0,980.0,940.0,820.0,560.0,380.0,230.0,150.0,100.0,40.0,0.3454,2280.0,16.38
SEMBAWANG,SEMBAWANG CENTRAL,34800.0,1830.0,1940.0,2120.0,2210.0,2250.0,2570.0,2810.0,2790.0,2840.0,3100.0,2600.0,2500.0,2130.0,1350.0,780.0,440.0,310.0,170.0,90.0,0.8636,5270.0,15.14
SEMBAWANG,SEMBAWANG EAST,17340.0,2070.0,850.0,800.0,780.0,780.0,2100.0,2690.0,1460.0,1290.0,1190.0,1000.0,840.0,540.0,410.0,260.0,140.0,80.0,50.0,20.0,0.4303,1500.0,8.65
SEMBAWANG,SEMBAWANG NORTH,25540.0,1080.0,1520.0,1770.0,1810.0,1580.0,1520.0,1610.0,2140.0,2260.0,2390.0,1940.0,1800.0,1600.0,1130.0,670.0,340.0,220.0,120.0,60.0,0.6338,4140.0,16.21
SEMBAWANG,SEMBAWANG SPRINGS,9090.0,560.0,550.0,640.0,580.0,460.0,550.0,940.0,860.0,870.0,810.0,640.0,470.0,320.0,270.0,210.0,140.0,120.0,70.0,60.0,0.2256,1190.0,13.09
SEMBAWANG,SEMBAWANG STRAITS,1910.0,60.0,100.0,120.0,140.0,160.0,140.0,100.0,110.0,140.0,160.0,160.0,180.0,120.0,80.0,70.0,40.0,20.0,10.0,10.0,0.0474,350.0,18.32
SEMBAWANG,SENOKO NORTH,10.0,,,,,,,,,,,,,,,,,,,,0.0002,0.0,0.0
SEMBAWANG,SENOKO SOUTH,30.0,,,,,,,,,,,,,,,,,,,,0.0007,0.0,0.0
SENGKANG,ANCHORVALE,48120.0,3790.0,3850.0,3290.0,2620.0,2060.0,2470.0,4690.0,5240.0,4520.0,4160.0,2660.0,2370.0,2290.0,1730.0,1200.0,610.0,330.0,160.0,90.0,1.1942,6410.0,13.32
SENGKANG,COMPASSVALE,20960.0,1670.0,1830.0,1450.0,900.0,630.0,990.0,1980.0,2760.0,2590.0,1640.0,970.0,900.0,830.0,740.0,540.0,280.0,180.0,60.0,30.0,0.5201,2660.0,12.69
SENGKANG,FERNVALE,58800.0,4830.0,5270.0,3970.0,2780.0,2390.0,2660.0,5430.0,7280.0,6060.0,4590.0,3320.0,2800.0,2400.0,1910.0,1410.0,750.0,500.0,290.0,170.0,1.4592,7430.0,12.64
SENGKANG,RIVERVALE,59700.0,2500.0,3060.0,3670.0,3840.0,4170.0,4090.0,4030.0,4300.0,4520.0,5200.0,4540.0,4630.0,4220.0,3030.0,1970.0,880.0,570.0,310.0,170.0,1.4815,11150.0,18.68
SENGKANG,SENGKANG TOWN CENTRE,61790.0,3590.0,3590.0,3550.0,3490.0,3940.0,4110.0,5380.0,5530.0,4910.0,4800.0,4450.0,4260.0,3890.0,2660.0,1700.0,870.0,590.0,310.0,200.0,1.5334,10220.0,16.54
SENGKANG,SENGKANG WEST,10.0,,,,,,,,,,,,,,,,,,,,0.0002,0.0,0.0
SERANGOON,LORONG CHUAN,8490.0,290.0,390.0,480.0,570.0,610.0,640.0,490.0,450.0,530.0,660.0,710.0,730.0,640.0,450.0,340.0,170.0,180.0,100.0,80.0,0.2107,1960.0,23.09
SERANGOON,SELETAR HILLS,14700.0,450.0,640.0,760.0,880.0,1100.0,1150.0,860.0,730.0,870.0,1100.0,1100.0,1200.0,1140.0,970.0,750.0,430.0,320.0,170.0,90.0,0.3648,3870.0,26.33
SERANGOON,SERANGOON CENTRAL,24760.0,700.0,780.0,880.0,1190.0,1400.0,2000.0,1920.0,1640.0,1440.0,1730.0,1670.0,1970.0,2330.0,2000.0,1430.0,700.0,550.0,260.0,150.0,0.6145,7420.0,29.97
SERANGOON,SERANGOON GARDEN,36080.0,1040.0,1170.0,1530.0,1800.0,2240.0,2650.0,2300.0,1950.0,2190.0,2510.0,2510.0,2830.0,3240.0,2890.0,2200.0,1200.0,910.0,560.0,360.0,0.8954,11360.0,31.49
SERANGOON,SERANGOON NORTH,15940.0,480.0,610.0,800.0,950.0,1260.0,1450.0,1020.0,940.0,1000.0,1060.0,1290.0,1470.0,1340.0,1000.0,620.0,300.0,200.0,110.0,40.0,0.3956,3610.0,22.65
SERANGOON,SERANGOON NORTH IND ESTATE,10.0,,,,,,,,,,,,,,,,,,,,0.0002,0.0,0.0
SERANGOON,UPPER PAYA LEBAR,16920.0,590.0,780.0,740.0,780.0,900.0,1430.0,1430.0,1210.0,1210.0,1160.0,1110.0,1210.0,1390.0,1100.0,880.0,440.0,310.0,170.0,90.0,0.4199,4380.0,25.89
SINGAPORE RIVER,BOAT QUAY,130.0,,,,,,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,0.0032,50.0,38.46
SINGAPORE RIVER,CLARKE QUAY,130.0,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,,,,,,,10.0,0.0032,10.0,7.69
SINGAPORE RIVER,ROBERTSON QUAY,3010.0,200.0,240.0,180.0,120.0,100.0,110.0,170.0,330.0,390.0,360.0,250.0,180.0,120.0,90.0,80.0,50.0,30.0,10.0,10.0,0.0747,390.0,12.96
SOUTHERN ISLANDS,SENTOSA,1940.0,110.0,140.0,110.0,100.0,90.0,90.0,90.0,150.0,170.0,230.0,210.0,190.0,120.0,70.0,30.0,20.0,10.0,,,0.0481,250.0,12.89
SUNGEI KADUT,GALI BATU,30.0,,,,,,,,,,,,,,,,,,,,0.0007,0.0,0.0
SUNGEI KADUT,KRANJI,10.0,,,,,,,,,,,,,,,,,,,,0.0002,0.0,0.0
SUNGEI KADUT,PANG SUA,20.0,,,,,,,,,,,,,,,,,,,,0.0005,0.0,0.0
SUNGEI KADUT,RESERVOIR VIEW,20.0,,,,,,,,,,,,,,,,,,,,0.0005,0.0,0.0
SUNGEI KADUT,TURF CLUB,670.0,20.0,30.0,30.0,30.0,50.0,50.0,40.0,40.0,40.0,50.0,50.0,50.0,50.0,40.0,40.0,20.0,30.0,10.0,10.0,0.0166,200.0,29.85
TAMPINES,SIMEI,39450.0,1360.0,1710.0,1960.0,2120.0,2660.0,3210.0,2540.0,2650.0,2850.0,2990.0,2950.0,3360.0,3190.0,2450.0,1660.0,720.0,560.0,290.0,220.0,0.979,9090.0,23.04
TAMPINES,TAMPINES EAST,130980.0,5390.0,5400.0,5910.0,6680.0,9230.0,11060.0,9400.0,8850.0,8150.0,8350.0,9710.0,11350.0,11330.0,8630.0,5510.0,2570.0,1870.0,1040.0,580.0,3.2504,31530.0,24.07
TAMPINES,TAMPINES NORTH,8040.0,1150.0,530.0,260.0,240.0,200.0,1060.0,1620.0,730.0,440.0,290.0,300.0,240.0,260.0,250.0,220.0,80.0,80.0,70.0,40.0,0.1995,1000.0,12.44
TAMPINES,TAMPINES WEST,79670.0,3790.0,3780.0,3800.0,4150.0,5340.0,6340.0,6320.0,5820.0,5360.0,5320.0,5640.0,6390.0,6410.0,4930.0,3090.0,1420.0,970.0,540.0,270.0,1.9771,17630.0,22.13
TAMPINES,XILIN,1760.0,40.0,70.0,70.0,100.0,160.0,170.0,120.0,70.0,80.0,110.0,130.0,230.0,180.0,110.0,60.0,20.0,20.0,10.0,,0.0437,400.0,22.73
TANGLIN,CHATSWORTH,6890.0,340.0,440.0,410.0,310.0,270.0,290.0,420.0,610.0,720.0,780.0,600.0,420.0,350.0,310.0,280.0,170.0,90.0,50.0,30.0,0.171,1280.0,18.58
TANGLIN,NASSIM,9520.0,500.0,810.0,630.0,540.0,440.0,430.0,480.0,680.0,860.0,940.0,710.0,620.0,540.0,470.0,400.0,200.0,140.0,80.0,70.0,0.2363,1900.0,19.96
TANGLIN,RIDOUT,1520.0,80.0,100.0,80.0,70.0,70.0,80.0,90.0,100.0,120.0,120.0,120.0,110.0,100.0,90.0,80.0,40.0,30.0,20.0,20.0,0.0377,380.0,25.0
TANGLIN,TYERSALL,3880.0,160.0,240.0,250.0,190.0,210.0,210.0,220.0,230.0,300.0,360.0,330.0,290.0,260.0,220.0,160.0,110.0,80.0,50.0,30.0,0.0963,910.0,23.45
TENGAH,FOREST HILL,10.0,,,,,,,,,,,,,,,,,,,,0.0002,0.0,0.0
TOA PAYOH,BOON TECK,14660.0,580.0,570.0,570.0,660.0,770.0,1000.0,1080.0,860.0,780.0,1010.0,1030.0,1170.0,1190.0,980.0,830.0,600.0,530.0,290.0,180.0,0.3638,4600.0,31.38
TOA PAYOH,BRADDELL,9810.0,310.0,430.0,470.0,460.0,560.0,700.0,580.0,590.0,670.0,730.0,720.0,740.0,740.0,650.0,530.0,360.0,310.0,160.0,110.0,0.2434,2860.0,29.15
TOA PAYOH,JOO SENG,8150.0,360.0,370.0,410.0,340.0,390.0,550.0,700.0,650.0,640.0,660.0,550.0,560.0,530.0,480.0,400.0,220.0,180.0,100.0,70.0,0.2023,1980.0,24.29
TOA PAYOH,KIM KEAT,7960.0,200.0,240.0,300.0,310.0,440.0,630.0,520.0,440.0,510.0,580.0,560.0,640.0,780.0,600.0,510.0,300.0,230.0,120.0,60.0,0.1975,2600.0,32.66
TOA PAYOH,PEI CHUN,10360.0,260.0,370.0,450.0,530.0,560.0,600.0,520.0,560.0,700.0,850.0,890.0,870.0,870.0,660.0,610.0,440.0,350.0,180.0,90.0,0.2571,3200.0,30.89
TOA PAYOH,POTONG PASIR,11720.0,360.0,450.0,460.0,520.0,510.0,730.0,840.0,820.0,870.0,940.0,810.0,840.0,980.0,960.0,780.0,390.0,260.0,160.0,50.0,0.2908,3580.0,30.55
TOA PAYOH,SENNETT,7190.0,420.0,380.0,350.0,350.0,310.0,600.0,770.0,570.0,500.0,530.0,370.0,420.0,430.0,370.0,320.0,180.0,140.0,90.0,90.0,0.1784,1620.0,22.53
TOA PAYOH,TOA PAYOH CENTRAL,28020.0,1060.0,1430.0,1390.0,1300.0,1490.0,1800.0,1690.0,2000.0,2330.0,2350.0,2090.0,2030.0,1920.0,1510.0,1320.0,900.0,760.0,430.0,220.0,0.6954,7060.0,25.2
