date,year,month,day,station_id,station,station_name,rainfall_mm,temp_mean_c,temp_max_c,temp_min_c,wind_mean_kmh,wind_max_kmh
2013-02-25,2013,2,25,S06,S06,Paya Lebar Meteorological Station,48.2,,32.3,24.1,5.1,18.4
2013-02-26,2013,2,26,S06,S06,Paya Lebar Meteorological Station,63.4,,33.0,24.8,4.1,13.0
2013-02-27,2013,2,27,S06,S06,Paya Lebar Meteorological Station,2.3,,31.4,25.1,3.3,16.6
2013-02-28,2013,2,28,S06,S06,Paya Lebar Meteorological Station,0.1,,33.6,25.3,3.8,11.2
2013-03-01,2013,3,1,S06,S06,Paya Lebar Meteorological Station,0.0,,34.9,26.3,5.3,14.8
2013-03-02,2013,3,2,S06,S06,Paya Lebar Meteorological Station,36.2,,33.5,24.7,6.6,20.5
2013-03-03,2013,3,3,S06,S06,Paya Lebar Meteorological Station,0.0,,31.9,25.2,10.2,24.1
2013-03-04,2013,3,4,S06,S06,Paya Lebar Meteorological Station,0.0,,32.8,25.1,10.9,25.9
2013-03-05,2013,3,5,S06,S06,Paya Lebar Meteorological Station,1.2,,32.7,25.5,9.3,24.1
2013-03-06,2013,3,6,S06,S06,Paya Lebar Meteorological Station,0.0,,32.0,25.4,8.0,18.4
2013-03-07,2013,3,7,S06,S06,Paya Lebar Meteorological Station,0.0,,33.2,25.8,7.7,20.5
2013-03-08,2013,3,8,S06,S06,Paya Lebar Meteorological Station,0.0,,32.6,25.7,9.7,24.1
2013-03-09,2013,3,9,S06,S06,Paya Lebar Meteorological Station,5.8,,32.3,25.5,6.0,18.4
2013-03-10,2013,3,10,S06,S06,Paya Lebar Meteorological Station,38.3,,33.0,24.3,4.1,14.8
2013-03-11,2013,3,11,S06,S06,Paya Lebar Meteorological Station,0.0,,33.5,24.9,6.4,18.4
2013-03-12,2013,3,12,S06,S06,Paya Lebar Meteorological Station,0.0,,33.9,24.8,4.6,24.1
2013-03-13,2013,3,13,S06,S06,Paya Lebar Meteorological Station,2.6,,34.3,25.5,3.9,14.8
2013-03-14,2013,3,14,S06,S06,Paya Lebar Meteorological Station,17.9,,33.4,25.0,5.7,24.1
2013-03-15,2013,3,15,S06,S06,Paya Lebar Meteorological Station,0.0,,34.3,25.3,6.1,18.4
2013-03-16,2013,3,16,S06,S06,Paya Lebar Meteorological Station,0.0,,34.2,26.2,7.3,16.6
2013-03-17,2013,3,17,S06,S06,Paya Lebar Meteorological Station,3.5,,32.8,25.5,4.9,16.6
2013-03-18,2013,3,18,S06,S06,Paya Lebar Meteorological Station,0.0,,34.5,25.8,5.7,14.8
2013-03-19,2013,3,19,S06,S06,Paya Lebar Meteorological Station,0.0,,34.5,25.7,6.7,18.4
2013-03-20,2013,3,20,S06,S06,Paya Lebar Meteorological Station,0.0,,33.4,26.2,3.5,16.6
2013-03-21,2013,3,21,S06,S06,Paya Lebar Meteorological Station,0.0,,34.3,26.9,4.4,14.8
2013-03-22,2013,3,22,S06,S06,Paya Lebar Meteorological Station,4.2,,33.6,25.6,4.2,14.8
2013-03-23,2013,3,23,S06,S06,Paya Lebar Meteorological Station,0.0,,34.0,26.8,4.2,13.0
