subzone_code,subzone_name,planning_area,region,geometry_type
CKSZ04,PENG SIANG,CHOA CHU KANG,WEST REGION,Polygon
PRSZ02,PASIR RIS WEST,PASIR RIS,EAST REGION,Polygon
AMSZ09,YIO CHU KANG WEST,ANG MO KIO,NORTH-EAST REGION,Polygon
CHSZ01,CHANGI POINT,CHANGI,EAST REGION,Polygon
SESZ03,SENGKANG TOWN CENTRE,SENGKANG,NORTH-EAST REGION,Polygon
SESZ04,ANCHORVALE,SENGKANG,NORTH-EAST REGION,Polygon
SESZ07,SENGKANG WEST,SENGKANG,NORTH-EAST REGION,Polygon
SESZ06,FERNVALE,SENGKANG,NORTH-EAST REGION,Polygon
PGSZ04,PUNGGOL FIELD,PUNGGOL,NORTH-EAST REGION,Polygon
CKSZ06,YEW TEE,CHOA CHU KANG,WEST REGION,Polygon
PRSZ01,PASIR RIS WAFER FAB PARK,PASIR RIS,EAST REGION,Polygon
HGSZ05,TRAFALGAR,HOUGANG,NORTH-EAST REGION,Polygon
CKSZ01,TECK WHYE,CHOA CHU KANG,WEST REGION,Polygon
CKSZ03,CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION,Polygon
BPSZ03,FAJAR,BUKIT PANJANG,WEST REGION,Polygon
BPSZ01,SENJA,BUKIT PANJANG,WEST REGION,Polygon
BPSZ02,SAUJANA,BUKIT PANJANG,WEST REGION,Polygon
SGSZ01,SELETAR HILLS,SERANGOON,NORTH-EAST REGION,Polygon
SESZ05,COMPASSVALE,SENGKANG,NORTH-EAST REGION,Polygon
AMSZ12,YIO CHU KANG EAST,ANG MO KIO,NORTH-EAST REGION,Polygon
AMSZ10,YIO CHU KANG,ANG MO KIO,NORTH-EAST REGION,Polygon
PRSZ06,LOYANG WEST,PASIR RIS,EAST REGION,Polygon
AMSZ08,TAGORE,ANG MO KIO,NORTH-EAST REGION,Polygon
PRSZ04,PASIR RIS PARK,PASIR RIS,EAST REGION,Polygon
CKSZ05,CHOA CHU KANG NORTH,CHOA CHU KANG,WEST REGION,Polygon
SESZ02,RIVERVALE,SENGKANG,NORTH-EAST REGION,Polygon
AMSZ11,YIO CHU KANG NORTH,ANG MO KIO,NORTH-EAST REGION,Polygon
JWSZ08,YUNNAN,JURONG WEST,WEST REGION,Polygon
SGSZ05,LORONG CHUAN,SERANGOON,NORTH-EAST REGION,Polygon
JWSZ03,HONG KAH,JURONG WEST,WEST REGION,Polygon
SLSZ04,SELETAR,SELETAR,NORTH-EAST REGION,Polygon
SKSZ04,PANG SUA,SUNGEI KADUT,NORTH REGION,Polygon
SLSZ01,SELETAR AEROSPACE PARK,SELETAR,NORTH-EAST REGION,Polygon
YSSZ08,KHATIB,YISHUN,NORTH REGION,Polygon
MDSZ01,MANDAI WEST,MANDAI,NORTH REGION,Polygon
PGSZ07,CONEY ISLAND,PUNGGOL,NORTH-EAST REGION,Polygon
YSSZ04,YISHUN SOUTH,YISHUN,NORTH REGION,Polygon
SKSZ05,RESERVOIR VIEW,SUNGEI KADUT,NORTH REGION,Polygon
WDSZ03,WOODLANDS EAST,WOODLANDS,NORTH REGION,Polygon
SBSZ03,SEMBAWANG CENTRAL,SEMBAWANG,NORTH REGION,Polygon
WDSZ07,GREENWOOD PARK,WOODLANDS,NORTH REGION,Polygon
SBSZ01,SEMBAWANG EAST,SEMBAWANG,NORTH REGION,Polygon
WDSZ08,SENOKO WEST,WOODLANDS,NORTH REGION,Polygon
PGSZ03,MATILDA,PUNGGOL,NORTH-EAST REGION,Polygon
PGSZ05,WATERWAY EAST,PUNGGOL,NORTH-EAST REGION,Polygon
SKSZ03,GALI BATU,SUNGEI KADUT,NORTH REGION,Polygon
KLSZ09,CRAWFORD,KALLANG,CENTRAL REGION,Polygon
TSSZ04,TUAS BAY,TUAS,WEST REGION,Polygon
TSSZ05,TUAS VIEW,TUAS,WEST REGION,Polygon
WCSZ03,BAHAR,WESTERN WATER CATCHMENT,WEST REGION,Polygon
WCSZ02,CLEANTECH,WESTERN WATER CATCHMENT,WEST REGION,Polygon
JESZ05,LAKESIDE (BUSINESS),JURONG EAST,WEST REGION,Polygon
THSZ03,PARK,TENGAH,WEST REGION,Polygon
THSZ04,BRICKLAND,TENGAH,WEST REGION,Polygon
THSZ01,FOREST HILL,TENGAH,WEST REGION,Polygon
THSZ06,PLANTATION,TENGAH,WEST REGION,Polygon
THSZ05,GARDEN,TENGAH,WEST REGION,Polygon
PLSZ04,AIRPORT ROAD,PAYA LEBAR,EAST REGION,Polygon
WDSZ09,NORTH COAST,WOODLANDS,NORTH REGION,Polygon
YSSZ06,SPRINGLEAF,YISHUN,NORTH REGION,Polygon
PGSZ02,PUNGGOL TOWN CENTRE,PUNGGOL,NORTH-EAST REGION,Polygon
PGSZ06,PUNGGOL CANAL,PUNGGOL,NORTH-EAST REGION,Polygon
CCSZ01,CENTRAL WATER CATCHMENT,CENTRAL WATER CATCHMENT,NORTH REGION,Polygon
SBSZ06,SEMBAWANG STRAITS,SEMBAWANG,NORTH REGION,Polygon
SBSZ07,THE WHARVES,SEMBAWANG,NORTH REGION,Polygon
SBSZ08,SENOKO NORTH,SEMBAWANG,NORTH REGION,Polygon
CHSZ03,CHANGI AIRPORT,CHANGI,EAST REGION,Polygon
OTSZ02,PEOPLE'S PARK,OUTRAM,CENTRAL REGION,Polygon
MPSZ01,MOUNTBATTEN,MARINE PARADE,CENTRAL REGION,Polygon
GLSZ04,ALJUNIED,GEYLANG,CENTRAL REGION,Polygon
SLSZ03,PULAU PUNGGOL TIMOR,SELETAR,NORTH-EAST REGION,MultiPolygon
SKSZ02,TURF CLUB,SUNGEI KADUT,NORTH REGION,Polygon
WDSZ04,WOODLANDS SOUTH,WOODLANDS,NORTH REGION,Polygon
WDSZ05,WOODGROVE,WOODLANDS,NORTH REGION,Polygon
YSSZ03,YISHUN EAST,YISHUN,NORTH REGION,Polygon
WCSZ01,MURAI,WESTERN WATER CATCHMENT,WEST REGION,MultiPolygon
SLSZ02,PULAU PUNGGOL BARAT,SELETAR,NORTH-EAST REGION,Polygon
SMSZ04,PULAU SELETAR,SIMPANG,NORTH REGION,Polygon
SBSZ05,ADMIRALTY,SEMBAWANG,NORTH REGION,Polygon
LKSZ01,LIM CHU KANG,LIM CHU KANG,NORTH REGION,Polygon
SMSZ01,SIMPANG NORTH,SIMPANG,NORTH REGION,Polygon
SBSZ09,SENOKO SOUTH,SEMBAWANG,NORTH REGION,Polygon
SBSZ04,SEMBAWANG NORTH,SEMBAWANG,NORTH REGION,Polygon
SMSZ02,TANJONG IRAU,SIMPANG,NORTH REGION,Polygon
YSSZ09,YISHUN WEST,YISHUN,NORTH REGION,Polygon
WDSZ01,WOODLANDS REGIONAL CENTRE,WOODLANDS,NORTH REGION,Polygon
NESZ01,NORTH-EASTERN ISLANDS,NORTH-EASTERN ISLANDS,NORTH-EAST REGION,MultiPolygon
SMSZ03,SIMPANG SOUTH,SIMPANG,NORTH REGION,Polygon
YSSZ02,NORTHLAND,YISHUN,NORTH REGION,Polygon
WDSZ02,MIDVIEW,WOODLANDS,NORTH REGION,Polygon
WDSZ06,WOODLANDS WEST,WOODLANDS,NORTH REGION,Polygon
SBSZ02,SEMBAWANG SPRINGS,SEMBAWANG,NORTH REGION,Polygon
SKSZ01,KRANJI,SUNGEI KADUT,NORTH REGION,Polygon
PLSZ05,PLAB,PAYA LEBAR,EAST REGION,Polygon
MDSZ02,MANDAI EAST,MANDAI,NORTH REGION,Polygon
YSSZ07,NEE SOON,YISHUN,NORTH REGION,Polygon
BSSZ01,UPPER THOMSON,BISHAN,CENTRAL REGION,Polygon
AMSZ05,SHANGRI-LA,ANG MO KIO,NORTH-EAST REGION,Polygon
AMSZ04,TOWNSVILLE,ANG MO KIO,NORTH-EAST REGION,Polygon
BSSZ02,MARYMOUNT,BISHAN,CENTRAL REGION,Polygon
TSSZ06,TUAS VIEW EXTENSION,TUAS,WEST REGION,MultiPolygon
