station,station_id,year,month,day,rainfall_mm,temp_mean_c,temp_max_c,temp_min_c,wind_mean_kmh,wind_max_kmh
Sembawang Meteorological Station,S80,2013,1,1,0.5,26.7,31.8,23.3,13.5,38.9
Sembawang Meteorological Station,S80,2013,1,2,65.5,26.1,31.3,23.2,14.4,46.4
Sembawang Meteorological Station,S80,2013,1,3,2.5,26.3,31.6,23.5,11.3,38.9
Sembawang Meteorological Station,S80,2013,1,4,0.0,27.3,30.7,24.8,14.0,35.3
Sembawang Meteorological Station,S80,2013,1,5,0.0,27.3,31.0,24.6,13.3,37.1
Sembawang Meteorological Station,S80,2013,1,6,0.0,27.7,32.7,23.7,14.5,42.5
Sembawang Meteorological Station,S80,2013,1,7,0.0,28.9,34.5,23.4,18.4,55.4
Sembawang Meteorological Station,S80,2013,1,8,43.1,26.6,32.4,21.9,9.3,79.6
Sembawang Meteorological Station,S80,2013,1,9,22.0,26.3,32.0,23.2,7.9,50.0
Sembawang Meteorological Station,S80,2013,1,10,0.0,26.8,30.4,24.2,4.6,13.0
Sembawang Meteorological Station,S80,2013,1,11,0.0,27.6,31.3,24.3,12.5,42.5
Sembawang Meteorological Station,S80,2013,1,12,0.6,27.5,31.9,24.9,11.3,37.1
Sembawang Meteorological Station,S80,2013,1,13,18.7,26.0,30.5,23.4,9.9,46.4
Sembawang Meteorological Station,S80,2013,1,14,11.2,26.8,31.4,24.4,15.2,57.2
Sembawang Meteorological Station,S80,2013,1,15,5.8,26.8,30.7,23.3,14.2,35.3
Sembawang Meteorological Station,S80,2013,1,16,1.5,26.9,29.7,25.3,15.0,44.3
Sembawang Meteorological Station,S80,2013,1,17,0.0,27.3,31.3,24.5,17.5,48.2
Sembawang Meteorological Station,S80,2013,1,18,79.9,26.9,32.3,23.5,14.4,44.3
Sembawang Meteorological Station,S80,2013,1,19,44.9,23.6,24.5,22.6,8.0,22.3
Sembawang Meteorological Station,S80,2013,1,20,10.9,24.5,26.2,23.5,4.1,16.6
Sembawang Meteorological Station,S80,2013,1,21,3.8,26.7,31.6,23.5,9.1,29.5
Sembawang Meteorological Station,S80,2013,1,22,1.7,25.8,28.3,23.8,8.8,25.9
Sembawang Meteorological Station,S80,2013,1,23,0.0,27.4,31.4,23.9,11.2,31.3
Sembawang Meteorological Station,S80,2013,1,24,0.0,27.1,31.1,25.0,10.4,29.5
Sembawang Meteorological Station,S80,2013,1,25,0.0,27.1,31.6,23.7,11.6,27.7
Sembawang Meteorological Station,S80,2013,1,26,0.0,27.4,31.3,24.4,11.3,27.7
Sembawang Meteorological Station,S80,2013,1,27,0.0,27.1,31.4,23.1,12.9,27.7
Sembawang Meteorological Station,S80,2013,1,28,0.0,27.4,32.3,24.8,10.6,31.3
Sembawang Meteorological Station,S80,2013,1,29,0.0,27.4,31.5,24.6,12.6,31.3
Sembawang Meteorological Station,S80,2013,1,30,0.0,27.7,31.8,24.5,12.2,35.3
Sembawang Meteorological Station,S80,2013,1,31,0.0,27.6,31.6,23.6,13.0,29.5
Sembawang Meteorological Station,S80,2013,2,1,0.0,27.8,32.3,25.2,14.6,35.3
Sembawang Meteorological Station,S80,2013,2,2,0.0,28.1,32.7,25.0,12.4,35.3
Sembawang Meteorological Station,S80,2013,2,3,44.6,25.8,28.3,24.7,6.9,37.1
Sembawang Meteorological Station,S80,2013,2,4,1.0,26.7,29.5,24.0,9.5,35.3
Sembawang Meteorological Station,S80,2013,2,5,1.1,26.1,29.7,23.9,8.7,27.7
Sembawang Meteorological Station,S80,2013,2,6,17.5,25.4,29.5,23.6,6.8,31.3
Sembawang Meteorological Station,S80,2013,2,7,2.8,26.2,31.8,23.8,10.8,27.7
Sembawang Meteorological Station,S80,2013,2,8,43.5,,29.8,23.2,4.8,35.3
Sembawang Meteorological Station,S80,2013,2,9,64.0,,32.0,22.8,5.5,18.4
Sembawang Meteorological Station,S80,2013,2,10,12.5,24.4,26.7,23.4,5.4,14.8
Sembawang Meteorological Station,S80,2013,2,11,3.9,25.0,28.4,23.3,4.2,18.4
Sembawang Meteorological Station,S80,2013,2,12,15.0,25.4,29.3,22.8,5.8,16.6
Sembawang Meteorological Station,S80,2013,2,13,3.9,26.5,30.2,24.0,7.5,24.1
Sembawang Meteorological Station,S80,2013,2,14,72.3,24.7,27.7,23.3,4.8,31.3
Sembawang Meteorological Station,S80,2013,2,15,20.0,25.3,29.7,23.3,7.4,38.9
Sembawang Meteorological Station,S80,2013,2,16,2.0,25.8,30.3,23.1,7.8,29.5
Sembawang Meteorological Station,S80,2013,2,17,2.6,24.7,25.9,23.8,7.7,20.5
Sembawang Meteorological Station,S80,2013,2,18,5.3,26.0,30.6,22.9,7.9,25.9
Sembawang Meteorological Station,S80,2013,2,19,0.4,25.9,27.8,24.3,6.6,40.7
Sembawang Meteorological Station,S80,2013,2,20,0.0,27.2,32.0,23.5,8.5,25.9
Sembawang Meteorological Station,S80,2013,2,21,0.0,26.9,29.9,24.1,6.8,18.4
Sembawang Meteorological Station,S80,2013,2,22,0.0,27.6,32.4,24.1,10.1,35.3
Sembawang Meteorological Station,S80,2013,2,23,0.0,27.8,32.5,23.6,10.7,33.5
Sembawang Meteorological Station,S80,2013,2,24,0.0,27.7,31.6,24.1,10.5,31.3
Sembawang Meteorological Station,S80,2013,2,25,43.9,26.8,31.8,23.7,5.9,27.7
