station,station_id,year,month,day,rainfall_mm,temp_mean_c,temp_max_c,temp_min_c,wind_mean_kmh,wind_max_kmh
Bukit Panjang Road,S64,2013,1,1,2.0,,,,,
Bukit Panjang Road,S64,2013,1,2,17.2,,,,,
Bukit Panjang Road,S64,2013,1,3,1.2,,,,,
Bukit Panjang Road,S64,2013,1,4,3.2,,,,,
Bukit Panjang Road,S64,2013,1,5,0.0,,,,,
Bukit Panjang Road,S64,2013,1,6,0.0,,,,,
Bukit Panjang Road,S64,2013,1,7,0.0,,,,,
Bukit Panjang Road,S64,2013,1,8,11.8,,,,,
Bukit Panjang Road,S64,2013,1,9,8.0,,,,,
Bukit Panjang Road,S64,2013,1,10,0.0,,,,,
Bukit Panjang Road,S64,2013,1,11,0.0,,,,,
Bukit Panjang Road,S64,2013,1,12,3.8,,,,,
Bukit Panjang Road,S64,2013,1,13,4.6,,,,,
Bukit Panjang Road,S64,2013,1,14,8.8,,,,,
Bukit Panjang Road,S64,2013,1,15,11.8,,,,,
Bukit Panjang Road,S64,2013,1,16,0.4,,,,,
Bukit Panjang Road,S64,2013,1,17,0.0,,,,,
Bukit Panjang Road,S64,2013,1,18,54.0,,,,,
Bukit Panjang Road,S64,2013,1,19,25.4,,,,,
Bukit Panjang Road,S64,2013,1,20,3.4,,,,,
Bukit Panjang Road,S64,2013,1,21,0.6,,,,,
Bukit Panjang Road,S64,2013,1,22,1.0,,,,,
Bukit Panjang Road,S64,2013,1,23,0.0,,,,,
Bukit Panjang Road,S64,2013,1,24,8.0,,,,,
Bukit Panjang Road,S64,2013,1,25,0.0,,,,,
Bukit Panjang Road,S64,2013,1,26,0.0,,,,,
Bukit Panjang Road,S64,2013,1,27,0.0,,,,,
Bukit Panjang Road,S64,2013,1,28,0.0,,,,,
Bukit Panjang Road,S64,2013,1,29,0.0,,,,,
Bukit Panjang Road,S64,2013,1,30,0.0,,,,,
Bukit Panjang Road,S64,2013,1,31,0.0,,,,,
Bukit Panjang Road,S64,2013,2,1,0.0,,,,,
Bukit Panjang Road,S64,2013,2,2,0.6,,,,,
Bukit Panjang Road,S64,2013,2,3,24.6,,,,,
Bukit Panjang Road,S64,2013,2,4,1.2,,,,,
Bukit Panjang Road,S64,2013,2,5,34.4,,,,,
Bukit Panjang Road,S64,2013,2,6,21.4,,,,,
Bukit Panjang Road,S64,2013,2,7,3.2,,,,,
Bukit Panjang Road,S64,2013,2,8,25.0,,,,,
Bukit Panjang Road,S64,2013,2,9,50.6,,,,,
Bukit Panjang Road,S64,2013,2,10,37.8,,,,,
Bukit Panjang Road,S64,2013,2,11,0.2,,,,,
Bukit Panjang Road,S64,2013,2,12,7.6,,,,,
Bukit Panjang Road,S64,2013,2,13,1.8,,,,,
Bukit Panjang Road,S64,2013,2,14,43.2,,,,,
Bukit Panjang Road,S64,2013,2,15,31.6,,,,,
Bukit Panjang Road,S64,2013,2,16,5.4,,,,,
Bukit Panjang Road,S64,2013,2,17,2.8,,,,,
Bukit Panjang Road,S64,2013,2,18,13.4,,,,,
Bukit Panjang Road,S64,2013,2,19,3.4,,,,,
Bukit Panjang Road,S64,2013,2,20,0.0,,,,,
Bukit Panjang Road,S64,2013,2,21,4.4,,,,,
Bukit Panjang Road,S64,2013,2,22,0.0,,,,,
Bukit Panjang Road,S64,2013,2,23,0.0,,,,,
Bukit Panjang Road,S64,2013,2,24,0.0,,,,,
Bukit Panjang Road,S64,2013,2,25,27.0,,,,,
Bukit Panjang Road,S64,2013,2,26,70.2,,,,,
