station,station_id,year,month,day,rainfall_mm,temp_mean_c,temp_max_c,temp_min_c,wind_mean_kmh,wind_max_kmh
Tuas Road,S89,2013,1,1,2.4,,,,,
Tuas Road,S89,2013,1,2,12.0,,,,,
Tuas Road,S89,2013,1,3,4.2,,,,,
Tuas Road,S89,2013,1,4,2.8,,,,,
Tuas Road,S89,2013,1,5,0.0,,,,,
Tuas Road,S89,2013,1,6,0.0,,,,,
Tuas Road,S89,2013,1,7,0.0,,,,,
Tuas Road,S89,2013,1,8,0.4,,,,,
Tuas Road,S89,2013,1,9,1.8,,,,,
Tuas Road,S89,2013,1,10,0.4,,,,,
Tuas Road,S89,2013,1,11,15.6,,,,,
Tuas Road,S89,2013,1,12,0.0,,,,,
Tuas Road,S89,2013,1,13,0.2,,,,,
Tuas Road,S89,2013,1,14,22.4,,,,,
Tuas Road,S89,2013,1,15,0.2,,,,,
Tuas Road,S89,2013,1,16,0.0,,,,,
Tuas Road,S89,2013,1,17,0.0,,,,,
Tuas Road,S89,2013,1,18,49.6,,,,,
Tuas Road,S89,2013,1,19,14.8,,,,,
Tuas Road,S89,2013,1,20,1.6,,,,,
Tuas Road,S89,2013,1,21,0.2,,,,,
Tuas Road,S89,2013,1,22,0.4,,,,,
Tuas Road,S89,2013,1,23,0.0,,,,,
Tuas Road,S89,2013,1,24,2.4,,,,,
Tuas Road,S89,2013,1,25,0.0,,,,,
Tuas Road,S89,2013,1,26,0.0,,,,,
Tuas Road,S89,2013,1,27,13.2,,,,,
Tuas Road,S89,2013,1,28,0.0,,,,,
Tuas Road,S89,2013,1,29,0.0,,,,,
Tuas Road,S89,2013,1,30,0.0,,,,,
Tuas Road,S89,2013,1,31,0.0,,,,,
Tuas Road,S89,2013,2,1,0.0,,,,,
Tuas Road,S89,2013,2,2,0.8,,,,,
Tuas Road,S89,2013,2,3,24.0,,,,,
Tuas Road,S89,2013,2,4,0.4,,,,,
Tuas Road,S89,2013,2,5,86.6,,,,,
Tuas Road,S89,2013,2,6,32.0,,,,,
Tuas Road,S89,2013,2,7,46.0,,,,,
Tuas Road,S89,2013,2,8,44.0,,,,,
Tuas Road,S89,2013,2,9,1.6,,,,,
Tuas Road,S89,2013,2,10,53.8,,,,,
Tuas Road,S89,2013,2,11,0.2,,,,,
Tuas Road,S89,2013,2,12,1.0,,,,,
Tuas Road,S89,2013,2,13,1.6,,,,,
Tuas Road,S89,2013,2,14,16.0,,,,,
Tuas Road,S89,2013,2,15,2.0,,,,,
Tuas Road,S89,2013,2,16,23.4,,,,,
Tuas Road,S89,2013,2,17,0.0,,,,,
Tuas Road,S89,2013,2,18,11.8,,,,,
Tuas Road,S89,2013,2,19,1.2,,,,,
Tuas Road,S89,2013,2,20,1.8,,,,,
Tuas Road,S89,2013,2,21,0.0,,,,,
Tuas Road,S89,2013,2,22,0.0,,,,,
Tuas Road,S89,2013,2,23,0.0,,,,,
Tuas Road,S89,2013,2,24,0.0,,,,,
Tuas Road,S89,2013,2,25,0.8,,,,,
Tuas Road,S89,2013,2,26,15.6,,,,,
Tuas Road,S89,2013,2,27,0.0,,,,,
Tuas Road,S89,2013,2,28,0.0,,,,,
Tuas Road,S89,2013,3,1,0.0,,,,,
Tuas Road,S89,2013,3,2,0.2,,,,,
Tuas Road,S89,2013,3,3,0.0,,,,,
Tuas Road,S89,2013,3,4,0.0,,,,,
Tuas Road,S89,2013,3,5,1.6,,,,,
Tuas Road,S89,2013,3,6,0.0,,,,,
Tuas Road,S89,2013,3,7,23.6,,,,,
Tuas Road,S89,2013,3,8,31.4,,,,,
Tuas Road,S89,2013,3,9,15.0,,,,,
Tuas Road,S89,2013,3,10,6.0,,,,,
Tuas Road,S89,2013,3,11,2.4,,,,,
Tuas Road,S89,2013,3,12,0.0,,,,,
Tuas Road,S89,2013,3,13,2.4,,,,,
Tuas Road,S89,2013,3,14,44.2,,,,,
Tuas Road,S89,2013,3,15,0.0,,,,,
Tuas Road,S89,2013,3,16,0.0,,,,,
Tuas Road,S89,2013,3,17,15.8,,,,,
Tuas Road,S89,2013,3,18,0.0,,,,,
Tuas Road,S89,2013,3,19,0.0,,,,,
Tuas Road,S89,2013,3,20,0.0,,,,,
Tuas Road,S89,2013,3,21,0.0,,,,,
Tuas Road,S89,2013,3,22,0.0,,,,,
Tuas Road,S89,2013,3,23,0.4,,,,,
Tuas Road,S89,2013,3,24,0.0,,,,,
Tuas Road,S89,2013,3,25,0.6,,,,,
Tuas Road,S89,2013,3,26,0.2,,,,,
Tuas Road,S89,2013,3,27,0.8,,,,,
Tuas Road,S89,2013,3,28,55.4,,,,,
Tuas Road,S89,2013,3,29,22.6,,,,,
Tuas Road,S89,2013,3,30,3.4,,,,,
Tuas Road,S89,2013,3,31,10.8,,,,,
Tuas Road,S89,2013,4,1,21.0,,,,,
Tuas Road,S89,2013,4,2,48.4,,,,,
Tuas Road,S89,2013,4,3,3.0,,,,,
Tuas Road,S89,2013,4,4,0.6,,,,,
Tuas Road,S89,2013,4,5,16.4,,,,,
Tuas Road,S89,2013,4,6,5.2,,,,,
Tuas Road,S89,2013,4,7,0.0,,,,,
Tuas Road,S89,2013,4,8,18.4,,,,,
Tuas Road,S89,2013,4,9,28.0,,,,,
Tuas Road,S89,2013,4,10,0.0,,,,,
Tuas Road,S89,2013,4,11,0.0,,,,,
Tuas Road,S89,2013,4,12,0.0,,,,,
Tuas Road,S89,2013,4,13,3.6,,,,,
Tuas Road,S89,2013,4,14,0.0,,,,,
Tuas Road,S89,2013,4,15,0.0,,,,,
Tuas Road,S89,2013,4,16,17.2,,,,,
Tuas Road,S89,2013,4,17,1.4,,,,,
Tuas Road,S89,2013,4,18,0.8,,,,,
Tuas Road,S89,2013,4,19,8.4,,,,,
Tuas Road,S89,2013,4,20,1.4,,,,,
Tuas Road,S89,2013,4,21,7.2,,,,,
Tuas Road,S89,2013,4,22,0.0,,,,,
Tuas Road,S89,2013,4,23,25.0,,,,,
Tuas Road,S89,2013,4,24,28.2,,,,,
Tuas Road,S89,2013,4,25,24.6,,,,,
Tuas Road,S89,2013,4,26,0.2,,,,,
Tuas Road,S89,2013,4,27,0.0,,,,,
Tuas Road,S89,2013,4,28,3.0,,,,,
Tuas Road,S89,2013,4,29,0.0,,,,,
Tuas Road,S89,2013,4,30,0.0,,,,,
Tuas Road,S89,2013,5,1,0.0,,,,,
Tuas Road,S89,2013,5,2,23.8,,,,,
Tuas Road,S89,2013,5,3,9.2,,,,,
Tuas Road,S89,2013,5,4,0.0,,,,,
Tuas Road,S89,2013,5,5,0.4,,,,,
Tuas Road,S89,2013,5,6,0.4,,,,,
