station,station_id,year,month,day,rainfall_mm,temp_mean_c,temp_max_c,temp_min_c,wind_mean_kmh,wind_max_kmh
Seletar Meteorological Station,S25,2013,1,1,0.0,27.4,32.7,24.1,10.6,37.1
Seletar Meteorological Station,S25,2013,1,2,20.9,26.6,31.4,23.8,9.2,42.5
Seletar Meteorological Station,S25,2013,1,3,5.9,27.1,32.4,24.7,10.2,38.9
Seletar Meteorological Station,S25,2013,1,4,0.0,27.7,31.3,25.4,14.9,31.3
Seletar Meteorological Station,S25,2013,1,5,0.0,28.0,31.3,25.7,12.1,37.1
Seletar Meteorological Station,S25,2013,1,6,0.0,28.5,34.3,25.0,9.9,33.5
Seletar Meteorological Station,S25,2013,1,7,0.0,29.8,35.1,25.7,13.0,46.4
Seletar Meteorological Station,S25,2013,1,8,39.0,27.5,33.2,22.7,11.9,59.4
Seletar Meteorological Station,S25,2013,1,9,60.9,26.9,32.9,23.3,10.0,66.6
Seletar Meteorological Station,S25,2013,1,10,0.0,27.5,31.3,25.1,,
Seletar Meteorological Station,S25,2013,1,11,0.0,27.9,31.4,26.1,17.3,40.7
Seletar Meteorological Station,S25,2013,1,12,0.0,27.9,32.6,25.3,13.0,33.5
Seletar Meteorological Station,S25,2013,1,13,20.0,26.7,31.6,24.4,8.3,38.9
Seletar Meteorological Station,S25,2013,1,14,4.9,27.5,31.4,25.6,16.1,40.7
Seletar Meteorological Station,S25,2013,1,15,1.5,27.3,31.1,25.2,18.1,40.7
Seletar Meteorological Station,S25,2013,1,16,0.5,27.3,30.2,25.6,20.7,42.5
Seletar Meteorological Station,S25,2013,1,17,0.0,27.6,31.5,24.9,21.8,46.4
Seletar Meteorological Station,S25,2013,1,18,76.1,27.4,33.2,24.6,17.5,51.8
Seletar Meteorological Station,S25,2013,1,19,53.0,24.1,25.2,22.8,10.5,42.5
Seletar Meteorological Station,S25,2013,1,20,10.1,24.9,26.5,24.1,7.7,31.3
Seletar Meteorological Station,S25,2013,1,21,1.2,27.1,31.5,24.5,14.3,35.3
Seletar Meteorological Station,S25,2013,1,22,2.5,26.2,28.6,24.2,14.6,35.3
Seletar Meteorological Station,S25,2013,1,23,0.0,27.5,31.3,25.2,17.5,42.5
Seletar Meteorological Station,S25,2013,1,24,0.4,27.4,31.2,25.3,16.6,40.7
Seletar Meteorological Station,S25,2013,1,25,0.0,27.4,31.3,25.0,18.0,38.9
Seletar Meteorological Station,S25,2013,1,26,0.0,27.6,31.3,25.2,17.4,40.7
Seletar Meteorological Station,S25,2013,1,27,0.0,27.5,31.6,24.9,17.8,40.7
Seletar Meteorological Station,S25,2013,1,28,1.0,27.5,31.3,25.0,17.9,38.9
Seletar Meteorological Station,S25,2013,1,29,0.0,27.4,31.6,24.6,20.2,44.3
Seletar Meteorological Station,S25,2013,1,30,0.0,27.8,32.1,24.6,19.1,44.3
Seletar Meteorological Station,S25,2013,1,31,0.0,27.8,32.1,25.2,19.5,40.7
Seletar Meteorological Station,S25,2013,2,1,0.0,28.2,32.1,25.9,21.5,50.0
Seletar Meteorological Station,S25,2013,2,2,0.0,28.7,33.1,25.7,21.4,46.4
Seletar Meteorological Station,S25,2013,2,3,48.3,26.4,29.3,24.8,12.0,40.7
Seletar Meteorological Station,S25,2013,2,4,1.0,26.9,29.4,24.2,13.0,29.5
Seletar Meteorological Station,S25,2013,2,5,2.1,26.7,29.7,24.0,12.4,35.3
Seletar Meteorological Station,S25,2013,2,6,22.1,26.0,29.9,24.6,8.6,35.3
Seletar Meteorological Station,S25,2013,2,7,6.5,26.9,31.6,24.8,11.3,35.3
Seletar Meteorological Station,S25,2013,2,8,19.5,26.2,30.2,24.4,6.5,37.1
Seletar Meteorological Station,S25,2013,2,9,32.3,26.6,31.8,24.3,9.0,31.3
Seletar Meteorological Station,S25,2013,2,10,11.3,25.0,26.1,23.6,13.2,38.9
Seletar Meteorological Station,S25,2013,2,11,1.2,25.7,29.7,24.0,10.8,38.9
Seletar Meteorological Station,S25,2013,2,12,3.0,26.2,30.0,24.2,13.0,38.9
Seletar Meteorological Station,S25,2013,2,13,4.4,27.0,31.0,25.1,14.9,42.5
Seletar Meteorological Station,S25,2013,2,14,95.3,25.1,27.8,23.6,7.4,42.5
Seletar Meteorological Station,S25,2013,2,15,3.9,26.0,30.8,23.9,10.6,46.4
Seletar Meteorological Station,S25,2013,2,16,13.7,26.3,30.4,24.5,10.2,37.1
Seletar Meteorological Station,S25,2013,2,17,1.8,25.1,26.3,24.1,10.7,29.5
Seletar Meteorological Station,S25,2013,2,18,12.5,26.4,31.0,24.4,11.5,44.3
Seletar Meteorological Station,S25,2013,2,19,0.3,26.5,28.5,25.0,9.0,27.7
Seletar Meteorological Station,S25,2013,2,20,0.0,27.7,32.2,25.3,12.6,35.3
Seletar Meteorological Station,S25,2013,2,21,0.1,27.2,30.8,25.0,12.0,27.7
Seletar Meteorological Station,S25,2013,2,22,0.0,28.0,32.9,25.4,17.1,38.9
Seletar Meteorological Station,S25,2013,2,23,0.0,28.5,32.9,25.2,14.5,44.3
Seletar Meteorological Station,S25,2013,2,24,0.0,28.2,31.3,25.2,14.6,38.9
Seletar Meteorological Station,S25,2013,2,25,67.5,27.3,32.3,23.9,8.8,46.4
Seletar Meteorological Station,S25,2013,2,26,56.2,27.4,32.9,25.2,9.8,37.1
Seletar Meteorological Station,S25,2013,2,27,2.4,27.6,32.3,25.0,8.8,31.3
Seletar Meteorological Station,S25,2013,2,28,10.9,28.1,33.8,25.3,9.2,27.7
Seletar Meteorological Station,S25,2013,3,1,2.8,28.3,33.7,25.4,10.2,25.9
Seletar Meteorological Station,S25,2013,3,2,6.4,28.4,33.9,25.1,13.8,35.3
Seletar Meteorological Station,S25,2013,3,3,0.0,28.1,31.5,25.8,21.3,42.5
Seletar Meteorological Station,S25,2013,3,4,0.0,28.2,31.7,25.3,19.9,53.6
Seletar Meteorological Station,S25,2013,3,5,0.0,28.0,31.8,25.9,17.8,50.0
Seletar Meteorological Station,S25,2013,3,6,0.0,27.9,31.8,25.7,16.8,37.1
Seletar Meteorological Station,S25,2013,3,7,0.0,28.1,32.3,25.4,15.9,42.5
Seletar Meteorological Station,S25,2013,3,8,0.0,28.5,32.6,26.0,21.2,42.5
Seletar Meteorological Station,S25,2013,3,9,0.0,27.6,32.1,25.6,12.1,37.1
Seletar Meteorological Station,S25,2013,3,10,12.0,27.7,34.0,24.7,8.4,38.9
Seletar Meteorological Station,S25,2013,3,11,0.0,28.1,33.4,25.7,13.8,35.3
