station,station_id,year,month,day,rainfall_mm,temp_mean_c,temp_max_c,temp_min_c,wind_mean_kmh,wind_max_kmh
Semakau Landfill,S102,2013,1,1,3.2,27.3,30.3,25.0,10.6,34.6
Semakau Landfill,S102,2013,1,2,0.0,27.1,29.4,24.6,13.7,57.2
Semakau Landfill,S102,2013,1,3,40.4,27.3,30.2,24.9,12.0,36.4
Semakau Landfill,S102,2013,1,4,8.6,27.1,30.1,24.9,14.9,55.4
Semakau Landfill,S102,2013,1,5,0.0,28.0,30.4,26.4,14.8,37.8
Semakau Landfill,S102,2013,1,6,0.0,28.3,31.1,26.4,12.0,31.7
Semakau Landfill,S102,2013,1,7,0.0,29.0,31.1,27.1,15.5,38.2
Semakau Landfill,S102,2013,1,8,0.0,28.3,30.4,27.0,17.5,55.8
Semakau Landfill,S102,2013,1,9,0.0,27.6,30.1,26.7,18.8,54.4
Semakau Landfill,S102,2013,1,10,0.2,27.7,28.9,26.4,16.9,40.3
Semakau Landfill,S102,2013,1,11,48.4,27.3,30.5,23.4,18.5,40.7
Semakau Landfill,S102,2013,1,12,1.4,27.5,30.0,25.9,14.5,33.8
Semakau Landfill,S102,2013,1,13,7.2,27.1,29.2,24.7,12.3,27.7
Semakau Landfill,S102,2013,1,14,8.6,27.3,30.3,23.8,21.4,48.2
Semakau Landfill,S102,2013,1,15,2.8,27.6,29.9,26.2,19.6,53.6
Semakau Landfill,S102,2013,1,16,0.0,27.7,29.4,26.8,23.1,50.0
Semakau Landfill,S102,2013,1,17,0.0,27.8,30.1,26.0,25.5,49.0
Semakau Landfill,S102,2013,1,18,36.6,27.3,31.8,25.0,18.1,41.4
Semakau Landfill,S102,2013,1,19,33.2,24.7,25.9,23.2,17.2,39.2
Semakau Landfill,S102,2013,1,20,0.4,25.8,26.9,24.8,14.1,36.7
Semakau Landfill,S102,2013,1,21,0.6,27.3,30.0,25.4,17.8,36.0
Semakau Landfill,S102,2013,1,22,0.2,26.7,28.3,25.2,18.9,37.8
Semakau Landfill,S102,2013,1,23,0.0,27.6,30.4,25.8,19.9,42.5
Semakau Landfill,S102,2013,1,24,1.2,27.5,29.9,26.4,18.7,38.5
Semakau Landfill,S102,2013,1,25,0.0,27.6,30.1,25.7,20.0,39.2
Semakau Landfill,S102,2013,1,26,0.0,27.7,30.3,26.2,21.2,40.3
