station,station_id,year,month,day,rainfall_mm,temp_mean_c,temp_max_c,temp_min_c,wind_mean_kmh,wind_max_kmh
Woodlands Avenue 9,S104,2013,1,1,0.2,27.0,32.0,23.6,7.2,28.8
Woodlands Avenue 9,S104,2013,1,2,27.6,26.3,30.8,23.2,7.2,35.3
Woodlands Avenue 9,S104,2013,1,3,1.6,26.6,31.4,24.8,8.3,27.7
Woodlands Avenue 9,S104,2013,1,4,0.0,27.0,30.9,24.5,10.0,28.1
Woodlands Avenue 9,S104,2013,1,5,0.0,27.1,30.2,25.0,9.4,29.9
Woodlands Avenue 9,S104,2013,1,6,0.0,28.1,33.0,24.5,8.5,33.5
Woodlands Avenue 9,S104,2013,1,7,0.0,29.1,33.4,25.4,10.7,50.8
Woodlands Avenue 9,S104,2013,1,8,33.4,26.6,31.7,21.9,9.1,73.1
Woodlands Avenue 9,S104,2013,1,9,14.0,26.4,31.5,22.5,8.3,40.3
Woodlands Avenue 9,S104,2013,1,10,0.0,26.8,30.5,24.4,9.0,26.6
Woodlands Avenue 9,S104,2013,1,11,0.0,27.4,30.8,25.7,12.6,36.0
Woodlands Avenue 9,S104,2013,1,12,2.6,27.3,32.5,25.3,9.8,29.9
Woodlands Avenue 9,S104,2013,1,13,8.4,26.4,30.9,24.3,7.6,47.5
Woodlands Avenue 9,S104,2013,1,14,3.8,26.9,31.0,24.8,10.7,32.0
Woodlands Avenue 9,S104,2013,1,15,5.0,26.8,30.4,24.8,11.7,37.8
Woodlands Avenue 9,S104,2013,1,16,1.8,26.7,29.4,25.3,12.2,35.3
Woodlands Avenue 9,S104,2013,1,17,0.0,27.0,30.7,24.6,14.0,35.3
Woodlands Avenue 9,S104,2013,1,18,62.6,26.5,32.4,23.7,12.0,41.4
Woodlands Avenue 9,S104,2013,1,19,30.4,23.7,24.5,22.9,9.0,28.4
Woodlands Avenue 9,S104,2013,1,20,8.0,24.5,26.1,23.7,7.3,27.7
Woodlands Avenue 9,S104,2013,1,21,1.4,26.5,30.3,24.0,10.2,35.3
Woodlands Avenue 9,S104,2013,1,22,1.0,25.6,27.7,23.8,10.2,33.1
Woodlands Avenue 9,S104,2013,1,23,0.0,26.9,30.5,24.5,11.2,36.7
Woodlands Avenue 9,S104,2013,1,24,0.0,26.8,30.1,25.1,11.2,41.0
Woodlands Avenue 9,S104,2013,1,25,0.0,26.8,30.6,24.4,11.5,34.9
Woodlands Avenue 9,S104,2013,1,26,0.0,27.0,30.9,24.5,12.6,34.9
Woodlands Avenue 9,S104,2013,1,27,0.0,26.8,30.8,24.4,12.4,36.7
Woodlands Avenue 9,S104,2013,1,28,0.2,26.8,30.5,24.7,11.1,31.7
Woodlands Avenue 9,S104,2013,1,29,0.0,26.9,30.5,24.4,13.5,43.6
Woodlands Avenue 9,S104,2013,1,30,0.0,27.1,31.0,24.2,13.1,37.4
Woodlands Avenue 9,S104,2013,1,31,0.0,27.3,31.2,24.7,13.2,37.8
Woodlands Avenue 9,S104,2013,2,1,0.0,27.4,30.6,25.2,14.6,41.8
Woodlands Avenue 9,S104,2013,2,2,0.0,27.8,32.1,24.8,13.2,39.2
Woodlands Avenue 9,S104,2013,2,3,39.6,25.6,27.4,24.4,9.5,38.5
Woodlands Avenue 9,S104,2013,2,4,1.0,26.4,28.9,24.2,9.4,29.2
Woodlands Avenue 9,S104,2013,2,5,5.6,25.8,29.0,23.4,7.9,32.4
Woodlands Avenue 9,S104,2013,2,6,6.2,25.5,29.2,24.0,7.0,27.4
Woodlands Avenue 9,S104,2013,2,7,4.4,26.3,30.6,23.9,8.1,33.5
Woodlands Avenue 9,S104,2013,2,8,33.6,25.5,29.5,24.0,5.4,29.2
Woodlands Avenue 9,S104,2013,2,9,28.6,26.0,32.5,23.8,7.0,34.6
Woodlands Avenue 9,S104,2013,2,10,21.6,24.5,25.4,23.3,9.6,35.3
Woodlands Avenue 9,S104,2013,2,11,0.8,24.8,28.4,23.5,7.3,31.0
Woodlands Avenue 9,S104,2013,2,12,28.2,25.5,29.0,23.7,9.6,37.4
Woodlands Avenue 9,S104,2013,2,13,0.8,26.5,30.2,24.5,10.4,38.2
Woodlands Avenue 9,S104,2013,2,14,29.8,24.8,27.5,23.4,6.8,31.3
Woodlands Avenue 9,S104,2013,2,15,9.0,25.4,29.8,23.7,8.5,46.8
Woodlands Avenue 9,S104,2013,2,16,2.0,25.7,30.4,24.4,7.4,38.9
Woodlands Avenue 9,S104,2013,2,17,1.0,24.7,25.7,23.9,7.5,28.8
Woodlands Avenue 9,S104,2013,2,18,15.0,26.0,31.1,24.3,7.7,26.6
Woodlands Avenue 9,S104,2013,2,19,0.4,25.8,27.8,24.7,8.7,27.7
Woodlands Avenue 9,S104,2013,2,20,0.6,27.0,32.0,24.5,8.5,25.2
Woodlands Avenue 9,S104,2013,2,21,0.2,26.8,29.6,24.9,9.0,24.5
Woodlands Avenue 9,S104,2013,2,22,0.0,27.3,32.1,24.5,12.5,35.6
Woodlands Avenue 9,S104,2013,2,23,0.0,27.5,31.6,24.1,12.2,36.4
Woodlands Avenue 9,S104,2013,2,24,0.0,27.3,30.0,24.8,12.2,38.5
