station,station_id,year,month,day,rainfall_mm,temp_mean_c,temp_max_c,temp_min_c,wind_mean_kmh,wind_max_kmh
East Coast Parkway,S107,2013,1,1,5.0,27.1,31.2,24.3,7.5,33.5
East Coast Parkway,S107,2013,1,2,16.0,26.4,28.7,23.9,8.0,36.4
East Coast Parkway,S107,2013,1,3,38.8,26.8,31.3,24.0,7.1,35.3
East Coast Parkway,S107,2013,1,4,0.0,27.3,30.3,25.5,9.8,32.8
East Coast Parkway,S107,2013,1,5,0.0,27.7,30.9,25.7,8.7,33.1
East Coast Parkway,S107,2013,1,6,0.0,27.7,31.7,25.3,7.8,26.3
East Coast Parkway,S107,2013,1,7,0.0,29.4,34.1,25.9,8.4,41.0
East Coast Parkway,S107,2013,1,8,2.2,27.9,32.8,23.9,7.6,60.1
East Coast Parkway,S107,2013,1,9,9.0,26.7,31.5,23.8,7.7,59.4
East Coast Parkway,S107,2013,1,10,0.0,27.2,30.0,25.7,7.1,25.2
East Coast Parkway,S107,2013,1,11,0.0,27.8,30.7,24.9,11.4,40.0
East Coast Parkway,S107,2013,1,12,1.8,27.7,31.0,25.9,9.3,33.8
East Coast Parkway,S107,2013,1,13,12.6,26.6,29.1,23.9,7.2,34.6
East Coast Parkway,S107,2013,1,14,0.2,27.5,30.3,25.9,11.8,40.7
East Coast Parkway,S107,2013,1,15,0.0,27.6,29.8,26.2,12.3,40.3
East Coast Parkway,S107,2013,1,16,0.0,27.5,29.2,26.3,12.5,44.6
East Coast Parkway,S107,2013,1,17,0.0,27.5,29.9,26.0,14.6,43.6
East Coast Parkway,S107,2013,1,18,61.2,27.1,31.2,25.0,11.3,48.6
East Coast Parkway,S107,2013,1,19,46.8,24.1,25.5,22.9,7.7,35.3
East Coast Parkway,S107,2013,1,20,10.2,24.7,25.6,24.0,5.4,27.4
East Coast Parkway,S107,2013,1,21,1.8,27.0,30.4,24.5,8.7,37.8
East Coast Parkway,S107,2013,1,22,1.2,26.1,28.0,24.2,10.6,35.6
East Coast Parkway,S107,2013,1,23,0.0,27.2,30.3,25.2,10.2,38.9
East Coast Parkway,S107,2013,1,24,0.2,27.4,30.2,25.9,10.1,42.5
East Coast Parkway,S107,2013,1,25,0.0,27.2,30.0,25.0,11.4,40.3
East Coast Parkway,S107,2013,1,26,0.0,27.3,29.8,25.7,11.3,41.8
East Coast Parkway,S107,2013,1,27,0.0,27.3,30.1,25.3,11.6,42.8
East Coast Parkway,S107,2013,1,28,0.0,27.5,30.1,25.9,12.9,40.3
East Coast Parkway,S107,2013,1,29,0.0,27.4,30.2,25.7,12.4,37.4
East Coast Parkway,S107,2013,1,30,0.0,27.6,30.6,25.5,11.9,36.7
East Coast Parkway,S107,2013,1,31,0.0,27.7,30.3,25.7,11.2,40.7
East Coast Parkway,S107,2013,2,1,0.0,28.0,30.6,26.2,13.8,47.9
East Coast Parkway,S107,2013,2,2,0.0,28.1,31.2,26.2,13.6,41.8
East Coast Parkway,S107,2013,2,3,29.4,26.4,28.1,24.8,7.8,36.4
East Coast Parkway,S107,2013,2,4,0.6,26.8,28.8,24.4,8.6,40.7
East Coast Parkway,S107,2013,2,5,6.0,26.4,29.7,24.0,8.3,43.6
East Coast Parkway,S107,2013,2,6,21.0,25.9,28.3,24.2,5.2,24.1
East Coast Parkway,S107,2013,2,7,1.2,27.1,30.7,25.0,6.7,35.3
East Coast Parkway,S107,2013,2,8,42.2,26.1,28.9,24.5,5.2,29.5
East Coast Parkway,S107,2013,2,9,0.4,26.5,29.9,24.5,7.2,35.3
East Coast Parkway,S107,2013,2,10,42.6,25.1,26.6,21.8,8.6,28.4
East Coast Parkway,S107,2013,2,11,40.2,25.6,29.3,23.3,6.5,33.8
East Coast Parkway,S107,2013,2,12,2.6,26.0,28.6,24.3,6.2,32.4
East Coast Parkway,S107,2013,2,13,7.4,27.0,30.0,25.2,8.1,51.1
