station,station_id,year,month,day,rainfall_mm,temp_mean_c,temp_max_c,temp_min_c,wind_mean_kmh,wind_max_kmh
Pulau Ubin,S106,2013,1,1,3.6,27.0,31.6,23.7,4.3,23.4
Pulau Ubin,S106,2013,1,2,2.0,26.9,31.3,23.4,3.8,28.4
Pulau Ubin,S106,2013,1,3,4.4,26.6,32.0,24.4,3.5,32.0
Pulau Ubin,S106,2013,1,4,0.6,27.1,31.1,24.9,5.3,20.9
Pulau Ubin,S106,2013,1,5,0.0,27.2,31.3,24.6,5.0,22.7
Pulau Ubin,S106,2013,1,6,0.0,27.4,34.0,24.2,3.9,24.8
Pulau Ubin,S106,2013,1,7,0.8,28.6,35.0,24.9,4.3,27.7
Pulau Ubin,S106,2013,1,8,4.0,26.8,32.6,22.5,4.3,52.6
Pulau Ubin,S106,2013,1,9,15.8,26.5,32.5,23.1,4.3,39.2
Pulau Ubin,S106,2013,1,10,0.0,27.0,30.6,24.0,4.5,19.4
Pulau Ubin,S106,2013,1,11,0.0,27.8,30.9,26.0,7.0,28.4
Pulau Ubin,S106,2013,1,12,0.0,27.6,31.7,24.7,5.4,24.1
Pulau Ubin,S106,2013,1,13,34.0,26.1,30.9,24.2,3.7,25.9
Pulau Ubin,S106,2013,1,14,0.0,27.3,31.0,24.7,6.3,24.5
Pulau Ubin,S106,2013,1,15,0.0,27.2,30.5,24.4,6.2,24.8
Pulau Ubin,S106,2013,1,16,0.0,27.2,29.8,24.9,6.7,25.9
Pulau Ubin,S106,2013,1,17,0.0,27.4,31.1,25.2,8.1,33.8
Pulau Ubin,S106,2013,1,18,61.2,26.8,32.1,24.5,6.9,34.6
Pulau Ubin,S106,2013,1,19,63.0,24.2,24.9,23.4,5.9,38.9
Pulau Ubin,S106,2013,1,20,14.8,24.8,25.9,24.1,3.9,30.2
Pulau Ubin,S106,2013,1,21,3.2,27.1,30.9,24.5,5.7,24.1
Pulau Ubin,S106,2013,1,22,2.0,25.9,28.4,24.0,5.6,24.1
Pulau Ubin,S106,2013,1,23,0.2,27.0,30.7,24.6,5.3,28.1
Pulau Ubin,S106,2013,1,24,0.0,27.0,30.7,24.6,5.8,27.0
Pulau Ubin,S106,2013,1,25,0.0,27.1,30.9,24.2,6.7,27.0
Pulau Ubin,S106,2013,1,26,0.0,27.0,30.8,24.1,6.0,27.7
Pulau Ubin,S106,2013,1,27,0.0,27.0,30.9,23.9,6.2,28.1
Pulau Ubin,S106,2013,1,28,0.0,27.2,30.7,24.1,6.5,24.1
Pulau Ubin,S106,2013,1,29,0.0,26.9,30.8,23.9,6.3,29.5
Pulau Ubin,S106,2013,1,30,0.0,27.0,31.3,23.7,6.1,26.6
Pulau Ubin,S106,2013,1,31,0.0,27.4,31.0,24.4,6.8,27.0
Pulau Ubin,S106,2013,2,1,0.0,27.8,31.3,25.1,8.2,33.1
Pulau Ubin,S106,2013,2,2,0.0,28.3,32.2,25.2,7.6,32.8
Pulau Ubin,S106,2013,2,3,36.0,26.0,28.3,25.1,3.9,29.5
Pulau Ubin,S106,2013,2,4,1.4,26.6,29.2,24.2,4.2,24.1
Pulau Ubin,S106,2013,2,5,0.2,26.4,30.2,24.3,4.4,26.6
Pulau Ubin,S106,2013,2,6,22.8,25.6,29.0,24.1,2.9,23.4
Pulau Ubin,S106,2013,2,7,0.6,26.6,30.8,24.3,4.0,24.5
Pulau Ubin,S106,2013,2,8,26.4,25.8,31.2,24.3,4.0,46.4
Pulau Ubin,S106,2013,2,9,2.8,26.6,31.9,24.1,3.2,18.7
Pulau Ubin,S106,2013,2,10,32.2,24.8,26.3,22.6,4.9,25.9
Pulau Ubin,S106,2013,2,11,36.4,25.2,29.4,24.0,3.4,24.8
Pulau Ubin,S106,2013,2,12,7.8,25.7,29.5,24.0,3.9,26.3
Pulau Ubin,S106,2013,2,13,11.0,26.8,30.7,24.4,5.0,29.9
Pulau Ubin,S106,2013,2,14,97.6,25.0,28.3,23.5,3.5,19.8
Pulau Ubin,S106,2013,2,15,0.0,26.0,30.3,23.9,4.7,24.5
Pulau Ubin,S106,2013,2,16,5.8,26.3,30.4,24.6,4.0,25.9
Pulau Ubin,S106,2013,2,17,1.2,24.8,25.8,24.2,4.0,18.4
Pulau Ubin,S106,2013,2,18,13.8,26.4,31.4,24.2,4.6,27.4
Pulau Ubin,S106,2013,2,19,0.2,26.0,28.3,24.7,3.5,19.4
Pulau Ubin,S106,2013,2,20,0.0,26.9,31.0,24.4,4.1,19.8
Pulau Ubin,S106,2013,2,21,1.4,26.4,30.9,24.2,4.3,19.8
Pulau Ubin,S106,2013,2,22,0.0,27.4,31.7,24.6,7.0,29.9
Pulau Ubin,S106,2013,2,23,0.4,27.8,32.6,24.4,5.9,28.4
Pulau Ubin,S106,2013,2,24,0.0,27.3,30.2,24.7,5.2,26.6
Pulau Ubin,S106,2013,2,25,44.2,26.8,31.3,23.7,3.5,27.4
Pulau Ubin,S106,2013,2,26,1.4,27.0,32.1,25.0,3.6,21.6
Pulau Ubin,S106,2013,2,27,4.8,26.9,31.1,24.6,3.7,78.8
Pulau Ubin,S106,2013,2,28,18.8,27.3,32.2,25.0,3.7,18.0
Pulau Ubin,S106,2013,3,1,4.2,27.6,31.9,24.9,3.9,20.5
Pulau Ubin,S106,2013,3,2,0.0,28.3,32.7,25.9,5.0,27.7
Pulau Ubin,S106,2013,3,3,0.0,28.0,31.2,25.7,7.3,27.0
Pulau Ubin,S106,2013,3,4,0.4,27.9,31.9,24.8,7.0,33.5
Pulau Ubin,S106,2013,3,5,1.4,27.5,31.7,24.8,6.3,29.5
Pulau Ubin,S106,2013,3,6,0.0,27.4,31.5,24.8,5.3,24.8
Pulau Ubin,S106,2013,3,7,0.0,27.8,32.2,24.6,6.1,26.3
Pulau Ubin,S106,2013,3,8,0.0,28.1,31.7,25.8,7.1,27.0
Pulau Ubin,S106,2013,3,9,0.0,27.5,31.3,24.8,4.8,23.4
Pulau Ubin,S106,2013,3,10,0.2,27.1,31.9,25.0,3.5,20.9
Pulau Ubin,S106,2013,3,11,0.0,27.5,31.9,24.8,4.5,23.8
Pulau Ubin,S106,2013,3,12,0.0,27.5,32.3,23.9,4.0,21.6
Pulau Ubin,S106,2013,3,13,0.0,27.4,32.2,24.3,3.5,19.1
Pulau Ubin,S106,2013,3,14,0.0,27.6,32.0,24.9,4.3,23.8
Pulau Ubin,S106,2013,3,15,0.0,28.1,32.9,24.7,4.4,23.4
Pulau Ubin,S106,2013,3,16,0.0,28.2,32.8,25.1,4.8,24.1
Pulau Ubin,S106,2013,3,17,7.4,27.0,31.7,25.5,3.4,21.2
Pulau Ubin,S106,2013,3,18,0.2,27.9,32.8,25.0,4.6,21.2
Pulau Ubin,S106,2013,3,19,0.0,28.1,32.6,24.8,5.3,24.5
Pulau Ubin,S106,2013,3,20,0.0,28.4,34.1,25.2,4.1,19.1
Pulau Ubin,S106,2013,3,21,0.0,28.7,34.1,25.8,3.6,18.0
Pulau Ubin,S106,2013,3,22,7.2,27.7,33.9,25.8,3.0,29.9
Pulau Ubin,S106,2013,3,23,0.0,28.4,33.1,26.0,3.7,19.4
Pulau Ubin,S106,2013,3,24,2.4,28.0,33.4,25.8,3.1,24.1
Pulau Ubin,S106,2013,3,25,7.8,27.6,33.6,25.1,3.0,22.3
Pulau Ubin,S106,2013,3,26,0.0,28.1,33.2,24.4,3.0,22.0
Pulau Ubin,S106,2013,3,27,0.0,28.7,33.3,26.1,2.9,64.1
Pulau Ubin,S106,2013,3,28,0.0,28.0,32.5,25.9,2.6,21.2
Pulau Ubin,S106,2013,3,29,0.0,28.3,32.5,25.8,3.1,28.1
Pulau Ubin,S106,2013,3,30,0.0,28.5,33.4,25.7,3.0,20.2
Pulau Ubin,S106,2013,3,31,0.0,28.6,34.3,26.3,3.4,24.1
Pulau Ubin,S106,2013,4,1,9.4,28.0,34.5,24.7,3.5,25.9
Pulau Ubin,S106,2013,4,2,0.0,28.6,33.6,25.8,3.2,20.5
Pulau Ubin,S106,2013,4,3,0.0,28.2,33.2,25.7,3.1,21.2
Pulau Ubin,S106,2013,4,4,29.6,27.5,34.2,25.4,3.5,24.8
Pulau Ubin,S106,2013,4,5,0.0,29.3,34.6,25.5,4.4,22.7
Pulau Ubin,S106,2013,4,6,11.6,28.0,31.0,26.0,5.7,42.5
Pulau Ubin,S106,2013,4,7,0.0,28.3,31.6,26.2,5.7,38.2
Pulau Ubin,S106,2013,4,8,0.0,28.3,33.5,26.2,2.9,19.4
Pulau Ubin,S106,2013,4,9,0.0,27.8,32.8,25.9,2.8,30.6
Pulau Ubin,S106,2013,4,10,0.2,28.2,31.0,26.0,3.9,20.5
Pulau Ubin,S106,2013,4,11,0.0,27.1,30.0,24.9,3.3,21.6
Pulau Ubin,S106,2013,4,12,2.4,28.4,33.1,25.4,3.1,16.6
Pulau Ubin,S106,2013,4,13,20.2,28.5,33.6,24.9,3.3,27.4
