station,station_id,year,month,day,rainfall_mm,temp_mean_c,temp_max_c,temp_min_c,wind_mean_kmh,wind_max_kmh
Scotts Road,S111,2013,1,1,4.2,26.6,31.7,23.3,4.7,32.0
Scotts Road,S111,2013,1,2,2.0,25.9,30.2,23.1,6.2,41.4
Scotts Road,S111,2013,1,3,0.2,26.5,31.6,24.4,5.4,27.4
Scotts Road,S111,2013,1,4,6.2,26.8,31.3,24.6,6.7,30.6
Scotts Road,S111,2013,1,5,0.0,27.3,30.6,24.9,6.3,30.2
Scotts Road,S111,2013,1,6,0.0,28.1,32.8,25.2,5.0,28.4
Scotts Road,S111,2013,1,7,0.0,28.8,33.0,25.3,9.0,47.2
Scotts Road,S111,2013,1,8,9.0,26.6,31.8,22.4,8.1,55.8
Scotts Road,S111,2013,1,9,5.0,26.1,30.5,23.4,6.8,44.3
Scotts Road,S111,2013,1,10,0.2,26.4,30.0,24.2,6.4,33.8
Scotts Road,S111,2013,1,11,10.2,26.9,31.0,23.9,7.5,38.9
Scotts Road,S111,2013,1,12,92.4,26.8,31.7,22.3,6.2,52.6
Scotts Road,S111,2013,1,13,0.4,26.3,30.6,24.8,5.0,38.2
Scotts Road,S111,2013,1,14,9.0,26.7,30.9,25.0,7.2,31.7
Scotts Road,S111,2013,1,15,11.2,26.6,30.1,24.0,7.8,47.9
Scotts Road,S111,2013,1,16,0.8,26.7,29.3,25.4,8.0,36.7
Scotts Road,S111,2013,1,17,0.0,27.0,31.0,24.8,9.4,44.6
Scotts Road,S111,2013,1,18,51.2,26.8,32.2,23.9,7.9,41.0
Scotts Road,S111,2013,1,19,28.0,23.2,24.2,22.3,6.8,34.6
Scotts Road,S111,2013,1,20,1.6,23.8,25.2,23.2,5.6,34.6
Scotts Road,S111,2013,1,21,2.4,26.3,30.4,23.6,6.8,33.1
Scotts Road,S111,2013,1,22,0.8,25.6,27.8,23.8,6.1,33.5
Scotts Road,S111,2013,1,23,0.0,26.9,30.8,24.4,6.8,33.1
Scotts Road,S111,2013,1,24,3.4,27.0,30.4,25.3,7.0,33.8
Scotts Road,S111,2013,1,25,0.0,26.9,30.6,24.5,7.5,36.0
Scotts Road,S111,2013,1,26,0.0,27.3,31.0,25.0,7.7,35.6
Scotts Road,S111,2013,1,27,0.0,27.2,31.2,25.1,7.1,38.2
Scotts Road,S111,2013,1,28,0.0,27.3,30.7,25.2,7.8,37.4
Scotts Road,S111,2013,1,29,0.0,27.1,30.6,25.0,8.8,37.4
Scotts Road,S111,2013,1,30,0.0,27.4,31.4,24.9,8.4,37.8
Scotts Road,S111,2013,1,31,0.0,27.5,30.8,25.3,8.7,37.8
Scotts Road,S111,2013,2,1,0.0,27.7,30.9,25.8,8.9,39.2
Scotts Road,S111,2013,2,2,0.0,28.0,32.6,25.5,9.2,45.0
Scotts Road,S111,2013,2,3,30.4,25.9,28.3,24.2,5.6,44.3
Scotts Road,S111,2013,2,4,0.6,26.5,29.0,24.2,5.8,29.9
Scotts Road,S111,2013,2,5,24.6,25.9,29.4,22.5,5.1,31.7
