station,station_id,year,month,day,rainfall_mm,temp_mean_c,temp_max_c,temp_min_c,wind_mean_kmh,wind_max_kmh
Kim Chuan Road,S43,2013,1,1,2.8,27.3,31.8,23.9,8.5,32.4
Kim Chuan Road,S43,2013,1,2,45.4,27.0,31.0,23.9,6.4,33.5
Kim Chuan Road,S43,2013,1,3,1.2,27.3,32.5,25.7,6.9,32.0
Kim Chuan Road,S43,2013,1,4,0.0,27.7,31.2,25.6,11.1,32.0
Kim Chuan Road,S43,2013,1,5,0.0,28.2,31.0,26.0,9.9,31.3
Kim Chuan Road,S43,2013,1,6,0.0,28.6,33.5,25.9,7.6,27.4
Kim Chuan Road,S43,2013,1,7,0.0,30.0,34.9,26.8,8.5,38.5
Kim Chuan Road,S43,2013,1,8,1.4,28.0,33.3,23.9,8.4,48.6
Kim Chuan Road,S43,2013,1,9,1.6,27.4,31.7,24.6,7.8,42.1
Kim Chuan Road,S43,2013,1,10,0.0,27.7,31.2,25.7,8.2,27.4
Kim Chuan Road,S43,2013,1,11,1.0,28.0,31.4,25.2,13.3,32.8
Kim Chuan Road,S43,2013,1,12,8.0,27.8,32.3,25.9,10.9,32.0
Kim Chuan Road,S43,2013,1,13,12.0,27.1,30.4,24.2,7.6,33.1
Kim Chuan Road,S43,2013,1,14,1.4,27.6,30.8,25.8,13.2,34.6
Kim Chuan Road,S43,2013,1,15,1.0,27.6,30.7,25.9,14.0,38.5
Kim Chuan Road,S43,2013,1,16,0.2,27.4,29.6,26.0,14.7,37.8
Kim Chuan Road,S43,2013,1,17,0.0,27.7,30.8,25.8,17.0,43.2
Kim Chuan Road,S43,2013,1,18,62.8,27.6,32.2,25.3,13.8,47.2
Kim Chuan Road,S43,2013,1,19,38.8,24.2,25.6,22.9,7.3,27.7
Kim Chuan Road,S43,2013,1,20,3.8,25.0,26.2,24.3,6.0,23.8
Kim Chuan Road,S43,2013,1,21,1.8,27.2,30.7,24.8,10.6,31.3
Kim Chuan Road,S43,2013,1,22,1.0,26.4,28.4,24.3,12.5,31.3
Kim Chuan Road,S43,2013,1,23,0.0,27.7,30.8,25.6,12.9,35.3
Kim Chuan Road,S43,2013,1,24,1.0,27.6,30.5,25.7,12.7,33.8
Kim Chuan Road,S43,2013,1,25,0.0,27.5,30.8,25.5,14.1,37.4
Kim Chuan Road,S43,2013,1,26,0.0,27.6,30.6,25.6,14.2,36.4
Kim Chuan Road,S43,2013,1,27,0.0,27.6,31.1,25.4,14.1,36.7
Kim Chuan Road,S43,2013,1,28,0.0,27.6,30.9,25.4,15.2,35.6
Kim Chuan Road,S43,2013,1,29,0.0,27.5,30.9,25.2,15.5,40.0
Kim Chuan Road,S43,2013,1,30,0.0,27.8,31.1,25.3,15.1,40.7
Kim Chuan Road,S43,2013,1,31,0.0,27.9,31.0,25.6,14.8,38.9
Kim Chuan Road,S43,2013,2,1,0.0,28.1,31.4,26.1,16.8,43.2
Kim Chuan Road,S43,2013,2,2,0.0,28.5,32.7,26.1,16.3,44.3
Kim Chuan Road,S43,2013,2,3,45.4,26.6,28.4,24.8,9.1,39.2
Kim Chuan Road,S43,2013,2,4,0.2,27.0,29.2,24.3,10.3,32.0
Kim Chuan Road,S43,2013,2,5,8.8,26.8,29.8,23.8,9.3,34.6
Kim Chuan Road,S43,2013,2,6,33.0,26.0,28.9,24.3,6.0,40.3
Kim Chuan Road,S43,2013,2,7,7.0,26.9,30.8,24.8,7.6,35.3
Kim Chuan Road,S43,2013,2,8,21.6,26.3,29.9,24.4,4.3,29.5
Kim Chuan Road,S43,2013,2,9,4.2,26.8,32.4,24.5,6.3,25.2
Kim Chuan Road,S43,2013,2,10,20.0,25.2,26.8,23.1,9.7,33.8
Kim Chuan Road,S43,2013,2,11,0.0,26.1,29.7,24.6,7.3,31.7
Kim Chuan Road,S43,2013,2,12,3.6,26.4,29.5,24.7,8.6,33.5
Kim Chuan Road,S43,2013,2,13,0.6,27.4,30.6,25.5,11.0,40.0
