station,station_id,year,month,day,rainfall_mm,temp_mean_c,temp_max_c,temp_min_c,wind_mean_kmh,wind_max_kmh
Chia Ping Road,S86,2013,1,1,0.0,27.3,32.4,24.2,5.4,22.0
Chia Ping Road,S86,2013,1,2,14.4,26.7,32.8,23.6,7.4,43.6
Chia Ping Road,S86,2013,1,3,0.4,27.5,32.2,25.1,7.8,28.4
Chia Ping Road,S86,2013,1,4,0.2,27.9,32.6,25.2,8.6,39.6
Chia Ping Road,S86,2013,1,5,0.0,28.1,32.0,25.5,10.7,37.1
Chia Ping Road,S86,2013,1,6,0.0,28.8,32.8,25.9,7.3,31.7
Chia Ping Road,S86,2013,1,7,0.0,29.8,34.9,26.2,11.0,40.7
Chia Ping Road,S86,2013,1,8,2.8,27.7,33.9,25.3,11.5,54.0
Chia Ping Road,S86,2013,1,9,3.8,27.1,32.4,25.4,10.9,43.2
Chia Ping Road,S86,2013,1,10,0.8,27.4,31.6,24.7,8.6,26.3
Chia Ping Road,S86,2013,1,11,9.2,28.0,32.5,25.5,8.4,31.0
Chia Ping Road,S86,2013,1,12,0.0,28.0,32.7,25.9,7.1,26.6
Chia Ping Road,S86,2013,1,13,0.6,27.4,31.2,25.8,5.9,27.0
Chia Ping Road,S86,2013,1,14,25.0,27.6,32.4,23.5,7.2,34.2
Chia Ping Road,S86,2013,1,15,7.8,27.7,32.3,25.7,8.5,32.4
Chia Ping Road,S86,2013,1,16,0.0,27.9,30.8,26.2,8.9,36.0
Chia Ping Road,S86,2013,1,17,0.0,28.2,32.3,25.5,10.4,38.9
Chia Ping Road,S86,2013,1,18,0.6,27.6,34.0,24.4,10.5,35.3
Chia Ping Road,S86,2013,1,19,62.8,24.0,25.2,22.8,7.8,28.4
Chia Ping Road,S86,2013,1,20,6.4,24.8,27.2,23.8,7.0,28.8
Chia Ping Road,S86,2013,1,21,0.0,27.2,31.4,24.0,7.7,28.8
Chia Ping Road,S86,2013,1,22,1.2,26.7,29.4,24.8,7.4,30.6
Chia Ping Road,S86,2013,1,23,0.0,27.7,32.4,24.8,8.2,31.3
Chia Ping Road,S86,2013,1,24,10.4,27.9,32.0,25.4,7.6,34.6
Chia Ping Road,S86,2013,1,25,0.0,27.9,31.8,25.0,7.7,31.3
Chia Ping Road,S86,2013,1,26,0.0,28.0,32.3,25.4,9.3,29.5
Chia Ping Road,S86,2013,1,27,0.0,27.6,32.1,25.7,8.6,29.5
Chia Ping Road,S86,2013,1,28,0.0,28.3,32.4,25.7,8.1,28.1
Chia Ping Road,S86,2013,1,29,0.0,28.1,31.7,25.5,9.9,35.3
Chia Ping Road,S86,2013,1,30,0.0,28.3,33.2,25.5,9.3,32.4
Chia Ping Road,S86,2013,1,31,0.0,28.3,32.3,25.8,9.5,32.4
Chia Ping Road,S86,2013,2,1,0.4,28.4,31.6,26.1,10.9,38.2
Chia Ping Road,S86,2013,2,2,0.0,28.8,33.0,25.9,9.7,34.2
Chia Ping Road,S86,2013,2,3,29.4,26.2,28.8,24.4,6.6,32.4
Chia Ping Road,S86,2013,2,4,0.8,27.5,30.5,25.3,6.9,27.4
Chia Ping Road,S86,2013,2,5,63.8,26.4,30.9,23.0,6.2,29.2
Chia Ping Road,S86,2013,2,6,65.2,26.2,30.1,24.2,5.8,33.5
Chia Ping Road,S86,2013,2,7,30.0,26.4,32.0,23.9,5.2,31.3
Chia Ping Road,S86,2013,2,8,37.0,26.0,30.5,24.0,5.5,34.2
Chia Ping Road,S86,2013,2,9,4.0,26.3,32.1,24.3,5.4,25.9
Chia Ping Road,S86,2013,2,10,46.2,24.8,26.4,23.2,6.3,26.6
Chia Ping Road,S86,2013,2,11,0.2,25.6,30.0,23.6,6.3,31.3
Chia Ping Road,S86,2013,2,12,2.6,26.0,29.1,24.2,7.3,31.3
Chia Ping Road,S86,2013,2,13,4.8,27.0,29.7,25.1,7.1,31.0
Chia Ping Road,S86,2013,2,14,21.4,25.3,28.2,23.8,5.2,36.0
Chia Ping Road,S86,2013,2,15,17.8,25.7,30.2,23.8,7.1,29.9
Chia Ping Road,S86,2013,2,16,6.0,25.9,31.0,24.2,6.4,33.5
Chia Ping Road,S86,2013,2,17,1.6,25.2,26.2,24.4,5.8,24.5
Chia Ping Road,S86,2013,2,18,18.8,26.8,32.8,24.2,6.6,30.6
Chia Ping Road,S86,2013,2,19,4.2,26.6,29.2,25.2,6.5,23.4
Chia Ping Road,S86,2013,2,20,7.2,27.7,32.6,25.1,7.3,27.0
Chia Ping Road,S86,2013,2,21,0.4,27.2,30.1,25.3,7.2,28.8
Chia Ping Road,S86,2013,2,22,0.0,28.1,33.1,24.8,11.2,34.2
Chia Ping Road,S86,2013,2,23,0.0,28.3,32.8,24.8,12.1,39.2
Chia Ping Road,S86,2013,2,24,0.0,28.0,31.0,25.6,11.3,40.0
Chia Ping Road,S86,2013,2,25,1.2,27.9,32.6,25.5,9.2,36.0
Chia Ping Road,S86,2013,2,26,12.0,27.6,33.3,25.2,7.7,25.9
Chia Ping Road,S86,2013,2,27,0.0,27.9,33.4,24.9,6.8,29.2
Chia Ping Road,S86,2013,2,28,0.0,28.7,33.5,25.8,7.4,24.1
Chia Ping Road,S86,2013,3,1,0.0,29.0,34.2,26.1,7.7,26.3
Chia Ping Road,S86,2013,3,2,3.0,28.6,34.4,26.3,7.6,27.7
Chia Ping Road,S86,2013,3,3,0.0,28.4,32.2,26.2,9.5,32.4
Chia Ping Road,S86,2013,3,4,0.0,28.6,33.1,25.6,9.6,42.1
Chia Ping Road,S86,2013,3,5,1.4,28.2,32.2,25.7,9.1,33.8
Chia Ping Road,S86,2013,3,6,0.0,28.3,31.9,25.4,8.0,29.5
Chia Ping Road,S86,2013,3,7,1.4,28.9,33.0,26.1,7.5,30.2
Chia Ping Road,S86,2013,3,8,8.0,28.3,32.3,25.0,8.9,41.8
Chia Ping Road,S86,2013,3,9,42.0,27.4,33.0,23.8,6.9,35.3
Chia Ping Road,S86,2013,3,10,32.2,27.7,33.1,24.1,6.6,40.3
Chia Ping Road,S86,2013,3,11,0.0,28.5,33.2,25.9,7.5,25.2
Chia Ping Road,S86,2013,3,12,0.0,28.8,34.1,25.6,7.9,27.7
Chia Ping Road,S86,2013,3,13,3.4,28.4,33.4,25.7,6.6,29.9
Chia Ping Road,S86,2013,3,14,19.6,27.9,33.7,24.6,7.0,28.4
Chia Ping Road,S86,2013,3,15,0.0,29.1,33.6,25.5,6.9,28.4
Chia Ping Road,S86,2013,3,16,0.0,29.3,33.2,26.3,7.8,28.1
Chia Ping Road,S86,2013,3,17,10.2,27.8,31.9,25.6,6.0,27.4
Chia Ping Road,S86,2013,3,18,6.4,29.0,34.8,26.1,8.6,24.8
Chia Ping Road,S86,2013,3,19,0.0,29.0,35.2,26.4,8.8,27.7
Chia Ping Road,S86,2013,3,20,0.0,29.4,33.4,26.5,7.4,27.0
Chia Ping Road,S86,2013,3,21,1.8,29.8,33.0,27.9,7.5,27.4
Chia Ping Road,S86,2013,3,22,4.6,29.1,32.8,25.9,6.0,25.9
Chia Ping Road,S86,2013,3,23,8.6,28.5,32.8,26.1,5.4,29.5
Chia Ping Road,S86,2013,3,24,11.4,28.6,33.7,25.6,5.6,28.1
Chia Ping Road,S86,2013,3,25,13.0,28.6,33.4,25.5,6.3,31.3
Chia Ping Road,S86,2013,3,26,2.6,28.7,33.0,24.6,5.5,29.9
Chia Ping Road,S86,2013,3,27,11.6,29.2,32.5,26.4,5.9,28.1
Chia Ping Road,S86,2013,3,28,27.4,28.8,34.3,25.1,5.0,34.2
Chia Ping Road,S86,2013,3,29,13.4,28.3,32.9,25.6,5.4,27.7
Chia Ping Road,S86,2013,3,30,6.8,28.9,34.2,26.4,5.5,31.3
Chia Ping Road,S86,2013,3,31,6.0,29.0,34.6,25.8,4.8,43.2
Chia Ping Road,S86,2013,4,1,16.6,29.1,36.0,26.1,5.7,27.4
Chia Ping Road,S86,2013,4,2,25.8,28.8,34.6,25.1,4.7,34.2
Chia Ping Road,S86,2013,4,3,3.0,28.9,34.7,26.2,5.5,28.1
Chia Ping Road,S86,2013,4,4,2.0,28.8,33.2,25.9,6.9,30.2
Chia Ping Road,S86,2013,4,5,1.2,29.4,33.9,25.8,8.7,32.0
Chia Ping Road,S86,2013,4,6,15.8,27.7,29.8,25.1,10.5,56.9
Chia Ping Road,S86,2013,4,7,0.0,28.2,30.5,25.9,11.0,50.8
Chia Ping Road,S86,2013,4,8,6.2,28.7,33.0,24.4,6.1,36.0
Chia Ping Road,S86,2013,4,9,0.4,28.4,32.1,26.0,4.2,20.5
Chia Ping Road,S86,2013,4,10,0.0,29.3,33.3,27.0,6.3,28.8
Chia Ping Road,S86,2013,4,11,0.2,28.1,31.6,25.7,6.6,23.4
Chia Ping Road,S86,2013,4,12,0.0,29.6,34.6,26.0,6.8,24.8
Chia Ping Road,S86,2013,4,13,0.0,30.1,34.5,27.7,6.7,42.5
Chia Ping Road,S86,2013,4,14,4.6,27.3,29.6,22.6,5.5,54.4
Chia Ping Road,S86,2013,4,15,0.0,30.1,35.1,26.1,6.4,24.5
Chia Ping Road,S86,2013,4,16,0.0,31.0,35.5,27.8,6.4,25.9
Chia Ping Road,S86,2013,4,17,11.6,29.0,32.5,24.3,10.3,49.3
Chia Ping Road,S86,2013,4,18,0.0,30.6,34.8,27.6,8.3,38.9
Chia Ping Road,S86,2013,4,19,13.6,27.9,30.1,24.4,4.9,27.0
Chia Ping Road,S86,2013,4,20,0.0,29.9,33.2,26.8,6.7,26.3
Chia Ping Road,S86,2013,4,21,19.4,27.2,32.2,23.4,5.5,57.6
Chia Ping Road,S86,2013,4,22,0.0,28.7,34.4,24.4,6.3,28.8
Chia Ping Road,S86,2013,4,23,15.0,28.5,32.3,24.1,5.1,31.0
Chia Ping Road,S86,2013,4,24,0.0,29.1,34.0,26.5,5.3,27.4
Chia Ping Road,S86,2013,4,25,0.0,29.6,34.9,26.4,4.7,22.0
Chia Ping Road,S86,2013,4,26,54.6,27.7,31.3,23.4,5.2,54.0
Chia Ping Road,S86,2013,4,27,19.6,28.4,32.3,24.6,4.6,19.4
Chia Ping Road,S86,2013,4,28,2.6,26.8,27.9,24.8,3.9,29.9
Chia Ping Road,S86,2013,4,29,0.0,28.6,32.1,25.5,5.7,36.0
Chia Ping Road,S86,2013,4,30,0.0,29.6,33.5,25.9,5.6,31.3
Chia Ping Road,S86,2013,5,1,0.0,29.0,31.3,27.1,5.5,26.3
Chia Ping Road,S86,2013,5,2,6.2,28.9,32.4,26.8,5.2,27.0
Chia Ping Road,S86,2013,5,3,2.0,28.5,31.9,25.8,5.4,28.4
Chia Ping Road,S86,2013,5,4,1.4,29.3,33.4,25.2,6.5,29.9
Chia Ping Road,S86,2013,5,5,25.6,28.1,31.8,25.1,4.5,33.8
Chia Ping Road,S86,2013,5,6,5.4,28.3,32.3,25.9,4.4,20.5
Chia Ping Road,S86,2013,5,7,5.0,27.6,33.3,25.3,5.8,34.9
Chia Ping Road,S86,2013,5,8,0.0,28.6,33.2,26.1,5.6,28.8
Chia Ping Road,S86,2013,5,9,0.2,28.8,32.4,25.6,6.2,29.5
Chia Ping Road,S86,2013,5,10,2.6,29.2,32.9,26.9,4.8,26.6
Chia Ping Road,S86,2013,5,11,0.0,28.7,30.8,27.0,6.7,27.4
Chia Ping Road,S86,2013,5,12,0.0,30.3,34.6,28.0,7.2,28.8
Chia Ping Road,S86,2013,5,13,0.0,31.0,33.6,28.8,5.9,23.4
Chia Ping Road,S86,2013,5,14,2.2,30.0,32.9,27.6,4.7,26.3
Chia Ping Road,S86,2013,5,15,28.0,30.1,33.3,24.5,5.7,26.3
Chia Ping Road,S86,2013,5,16,20.8,27.8,32.5,23.2,8.5,45.7
Chia Ping Road,S86,2013,5,17,0.0,30.6,35.1,26.8,5.2,23.0
Chia Ping Road,S86,2013,5,18,0.0,28.6,32.1,27.2,6.4,29.9
Chia Ping Road,S86,2013,5,19,0.0,30.0,33.0,26.7,6.2,25.2
Chia Ping Road,S86,2013,5,20,10.0,29.7,32.0,24.9,5.6,27.4
Chia Ping Road,S86,2013,5,21,0.0,29.3,34.1,26.9,5.4,23.4
Chia Ping Road,S86,2013,5,22,0.0,28.7,32.1,26.3,6.4,30.2
Chia Ping Road,S86,2013,5,23,0.0,29.5,32.6,26.8,5.9,26.3
Chia Ping Road,S86,2013,5,24,28.4,27.6,29.9,23.7,5.0,40.0
Chia Ping Road,S86,2013,5,25,0.0,29.3,34.3,26.6,7.2,32.0
Chia Ping Road,S86,2013,5,26,0.4,28.3,32.1,26.1,5.0,24.1
Chia Ping Road,S86,2013,5,27,0.0,29.4,34.6,25.7,6.4,25.6
Chia Ping Road,S86,2013,5,28,0.0,29.4,33.4,26.4,7.3,34.2
Chia Ping Road,S86,2013,5,29,0.2,28.0,29.5,26.7,5.0,21.6
Chia Ping Road,S86,2013,5,30,0.2,27.8,33.2,25.3,7.5,43.9
Chia Ping Road,S86,2013,5,31,0.0,29.0,34.6,25.3,6.9,29.5
Chia Ping Road,S86,2013,6,1,0.0,29.5,34.4,26.9,5.8,31.3
Chia Ping Road,S86,2013,6,2,0.4,30.2,34.6,25.8,6.9,29.5
Chia Ping Road,S86,2013,6,3,0.0,29.9,34.0,27.3,6.3,25.9
Chia Ping Road,S86,2013,6,4,0.4,28.8,31.7,26.6,7.4,37.1
Chia Ping Road,S86,2013,6,5,30.0,27.9,34.6,23.7,6.9,26.6
Chia Ping Road,S86,2013,6,6,0.0,29.1,35.4,25.8,6.6,21.6
Chia Ping Road,S86,2013,6,7,5.0,29.1,34.9,25.6,6.0,34.6
Chia Ping Road,S86,2013,6,8,0.0,28.9,33.4,25.4,6.2,28.8
Chia Ping Road,S86,2013,6,9,0.2,28.2,30.2,24.7,8.4,35.6
