station,station_id,year,month,day,rainfall_mm,temp_mean_c,temp_max_c,temp_min_c,wind_mean_kmh,wind_max_kmh
Sembawang Road,S122,2013,1,1,1.6,27.2,32.8,23.6,4.6,27.0
Sembawang Road,S122,2013,1,2,45.6,26.3,31.8,23.0,4.3,28.1
Sembawang Road,S122,2013,1,3,2.0,26.7,32.6,23.8,4.3,27.0
Sembawang Road,S122,2013,1,4,0.0,27.6,31.5,25.0,6.4,24.8
Sembawang Road,S122,2013,1,5,0.0,27.8,31.8,25.4,6.0,25.2
Sembawang Road,S122,2013,1,6,0.0,28.2,34.1,24.2,4.7,24.5
Sembawang Road,S122,2013,1,7,0.0,29.4,35.1,24.7,5.1,31.7
Sembawang Road,S122,2013,1,8,37.8,27.0,33.3,22.1,5.5,45.4
Sembawang Road,S122,2013,1,9,16.8,26.8,33.1,23.2,5.3,36.4
Sembawang Road,S122,2013,1,10,0.0,27.2,31.3,24.2,5.4,20.9
Sembawang Road,S122,2013,1,11,0.0,28.0,31.8,25.9,7.0,31.0
Sembawang Road,S122,2013,1,12,0.8,27.8,32.8,25.3,5.8,24.8
Sembawang Road,S122,2013,1,13,27.6,26.3,31.6,23.7,3.8,22.3
Sembawang Road,S122,2013,1,14,5.6,27.2,32.1,25.1,6.3,29.2
Sembawang Road,S122,2013,1,15,6.0,27.3,31.7,25.0,7.0,28.8
Sembawang Road,S122,2013,1,16,1.4,27.3,30.3,25.6,7.0,34.9
Sembawang Road,S122,2013,1,17,0.0,27.6,32.1,25.0,7.9,38.2
Sembawang Road,S122,2013,1,18,66.4,27.2,33.0,24.0,7.7,36.0
Sembawang Road,S122,2013,1,19,37.0,23.8,24.9,22.6,4.9,28.4
Sembawang Road,S122,2013,1,20,10.6,24.7,26.6,23.9,4.0,21.6
Sembawang Road,S122,2013,1,21,2.4,27.2,32.2,23.8,6.6,28.4
Sembawang Road,S122,2013,1,22,1.4,26.1,28.8,24.2,6.3,24.8
Sembawang Road,S122,2013,1,23,0.0,27.6,31.9,24.7,7.1,29.9
Sembawang Road,S122,2013,1,24,0.0,27.5,32.2,25.4,7.1,32.0
Sembawang Road,S122,2013,1,25,0.0,27.5,31.7,24.7,7.4,31.3
Sembawang Road,S122,2013,1,26,0.0,27.8,32.1,24.9,8.2,32.4
Sembawang Road,S122,2013,1,27,0.0,27.6,32.3,25.0,7.5,32.8
Sembawang Road,S122,2013,1,28,0.0,27.8,32.1,24.9,7.6,26.3
Sembawang Road,S122,2013,1,29,0.0,27.7,32.0,24.9,8.4,34.6
Sembawang Road,S122,2013,1,30,0.0,28.0,32.8,24.9,8.1,31.0
Sembawang Road,S122,2013,1,31,0.0,28.0,32.3,25.5,8.7,30.2
Sembawang Road,S122,2013,2,1,0.0,28.1,32.8,25.4,8.6,35.3
Sembawang Road,S122,2013,2,2,0.0,28.6,33.5,25.4,8.6,33.1
Sembawang Road,S122,2013,2,3,41.4,26.2,29.0,24.6,5.2,33.8
Sembawang Road,S122,2013,2,4,1.4,27.0,29.7,24.3,5.9,23.8
Sembawang Road,S122,2013,2,5,3.4,26.3,30.2,23.7,5.3,25.2
Sembawang Road,S122,2013,2,6,20.4,25.7,30.0,23.8,4.0,40.3
Sembawang Road,S122,2013,2,7,3.0,26.6,32.8,24.5,4.7,27.0
Sembawang Road,S122,2013,2,8,35.6,25.7,30.8,23.9,2.9,30.6
Sembawang Road,S122,2013,2,9,76.8,25.9,32.4,22.9,3.9,28.8
Sembawang Road,S122,2013,2,10,16.4,24.8,26.9,23.4,5.3,24.8
Sembawang Road,S122,2013,2,11,4.0,25.4,29.4,23.5,4.7,31.3
Sembawang Road,S122,2013,2,12,5.8,26.0,30.4,23.5,5.7,27.7
Sembawang Road,S122,2013,2,13,8.4,27.0,31.6,24.5,6.2,35.6
Sembawang Road,S122,2013,2,14,59.2,24.8,28.3,23.4,3.7,29.2
Sembawang Road,S122,2013,2,15,37.0,25.7,30.7,23.0,5.1,38.9
Sembawang Road,S122,2013,2,16,6.0,25.9,31.3,24.1,4.4,32.4
Sembawang Road,S122,2013,2,17,2.0,24.9,26.5,23.8,4.3,21.6
Sembawang Road,S122,2013,2,18,6.2,26.1,31.3,23.5,4.6,29.2
Sembawang Road,S122,2013,2,19,0.4,26.2,28.7,24.6,4.9,22.7
Sembawang Road,S122,2013,2,20,0.0,27.5,32.6,24.8,5.4,26.3
Sembawang Road,S122,2013,2,21,0.0,27.2,30.7,24.8,5.2,20.5
Sembawang Road,S122,2013,2,22,0.0,28.0,33.2,24.6,7.8,32.0
Sembawang Road,S122,2013,2,23,0.0,28.3,33.2,24.0,8.4,31.3
Sembawang Road,S122,2013,2,24,0.0,28.2,32.0,25.2,8.0,26.3
Sembawang Road,S122,2013,2,25,36.8,27.3,32.3,23.7,5.1,33.8
Sembawang Road,S122,2013,2,26,50.4,27.1,32.9,24.7,4.9,25.9
Sembawang Road,S122,2013,2,27,0.6,27.7,31.8,24.4,4.3,21.6
Sembawang Road,S122,2013,2,28,6.2,27.8,34.6,24.5,4.0,25.6
Sembawang Road,S122,2013,3,1,0.2,28.2,34.4,24.6,5.3,19.8
Sembawang Road,S122,2013,3,2,31.6,28.0,34.2,23.5,6.0,36.7
Sembawang Road,S122,2013,3,3,0.0,28.3,32.3,25.9,7.7,32.4
Sembawang Road,S122,2013,3,4,0.0,28.2,32.7,25.2,8.4,37.1
Sembawang Road,S122,2013,3,5,0.4,28.0,32.4,25.1,7.5,38.2
Sembawang Road,S122,2013,3,6,0.0,28.0,31.8,25.6,7.3,26.6
Sembawang Road,S122,2013,3,7,0.0,28.5,33.4,25.4,7.4,28.1
Sembawang Road,S122,2013,3,8,0.0,28.5,32.7,25.9,8.0,34.9
Sembawang Road,S122,2013,3,9,1.0,27.6,32.7,25.1,6.2,31.7
Sembawang Road,S122,2013,3,10,21.0,27.2,33.5,24.4,4.6,38.2
Sembawang Road,S122,2013,3,11,0.0,27.9,32.9,24.7,6.2,26.3
Sembawang Road,S122,2013,3,12,0.0,28.4,33.7,24.2,6.0,21.6
Sembawang Road,S122,2013,3,13,12.5,27.4,32.6,23.0,4.8,32.8
Sembawang Road,S122,2013,3,14,0.8,27.7,32.9,25.3,5.0,24.5
Sembawang Road,S122,2013,3,15,0.0,28.8,34.0,24.9,6.6,31.0
Sembawang Road,S122,2013,3,16,0.0,28.9,33.6,25.4,6.9,29.2
Sembawang Road,S122,2013,3,17,21.6,27.2,32.0,24.4,5.0,25.6
Sembawang Road,S122,2013,3,18,0.0,28.7,34.9,25.4,6.2,24.5
Sembawang Road,S122,2013,3,19,0.0,28.8,34.2,25.7,7.1,29.5
Sembawang Road,S122,2013,3,20,0.0,29.0,34.2,26.1,5.9,24.5
Sembawang Road,S122,2013,3,21,0.0,29.1,33.7,26.4,5.4,26.3
Sembawang Road,S122,2013,3,22,0.6,28.2,34.2,25.1,4.6,22.0
Sembawang Road,S122,2013,3,23,0.4,28.1,33.6,25.4,4.6,31.0
Sembawang Road,S122,2013,3,24,1.6,28.1,34.8,25.4,4.1,36.0
Sembawang Road,S122,2013,3,25,1.0,27.9,33.8,24.6,3.9,23.0
Sembawang Road,S122,2013,3,26,0.4,28.1,33.8,24.0,4.4,29.2
Sembawang Road,S122,2013,3,27,0.0,28.9,33.0,25.6,4.0,24.1
Sembawang Road,S122,2013,3,28,0.4,28.1,33.6,25.6,3.4,34.6
Sembawang Road,S122,2013,3,29,31.0,27.7,34.2,23.5,3.8,34.6
Sembawang Road,S122,2013,3,30,35.6,27.7,34.3,24.3,3.5,36.7
Sembawang Road,S122,2013,3,31,18.8,27.8,35.3,24.9,3.1,24.5
Sembawang Road,S122,2013,4,1,33.6,27.4,34.9,23.3,3.9,43.9
Sembawang Road,S122,2013,4,2,7.4,28.1,34.2,24.9,4.2,25.6
Sembawang Road,S122,2013,4,3,1.0,27.8,35.0,25.0,3.8,24.5
Sembawang Road,S122,2013,4,4,15.4,27.3,33.3,24.6,3.4,26.3
Sembawang Road,S122,2013,4,5,0.0,28.9,33.7,25.1,4.6,19.8
Sembawang Road,S122,2013,4,6,1.6,27.9,31.3,25.9,4.9,41.4
Sembawang Road,S122,2013,4,7,0.0,28.3,31.3,26.1,5.1,27.4
Sembawang Road,S122,2013,4,8,14.4,28.0,33.1,24.1,3.0,27.4
Sembawang Road,S122,2013,4,9,0.0,28.0,33.2,25.1,3.1,14.8
Sembawang Road,S122,2013,4,10,0.0,28.6,32.6,26.0,4.0,22.0
Sembawang Road,S122,2013,4,11,0.0,27.5,30.7,25.3,3.4,15.8
Sembawang Road,S122,2013,4,12,0.0,29.0,34.1,24.8,5.1,18.7
Sembawang Road,S122,2013,4,13,15.0,29.3,34.9,25.8,4.7,36.0
Sembawang Road,S122,2013,4,14,0.4,26.1,29.5,22.1,3.6,33.8
Sembawang Road,S122,2013,4,15,0.0,29.4,35.3,24.7,4.4,21.2
Sembawang Road,S122,2013,4,16,19.8,29.5,34.9,26.2,4.4,27.7
Sembawang Road,S122,2013,4,17,1.0,28.2,33.0,24.3,5.0,35.3
Sembawang Road,S122,2013,4,18,1.2,30.0,34.9,26.0,4.1,25.2
Sembawang Road,S122,2013,4,19,0.0,27.2,29.5,25.0,3.8,18.4
Sembawang Road,S122,2013,4,20,0.0,29.6,34.1,25.4,5.2,23.8
Sembawang Road,S122,2013,4,21,32.2,26.2,32.4,23.3,3.5,47.5
Sembawang Road,S122,2013,4,22,0.4,27.7,34.9,23.0,3.5,20.9
Sembawang Road,S122,2013,4,23,2.2,27.8,32.3,25.6,3.7,31.0
Sembawang Road,S122,2013,4,24,39.6,27.5,33.2,23.5,3.9,32.4
Sembawang Road,S122,2013,4,25,57.0,27.8,33.0,25.0,3.8,20.2
Sembawang Road,S122,2013,4,26,0.6,26.7,31.0,23.1,3.3,30.6
Sembawang Road,S122,2013,4,27,0.4,27.6,33.8,25.3,3.0,20.9
Sembawang Road,S122,2013,4,28,16.8,25.7,27.9,23.9,2.9,22.0
Sembawang Road,S122,2013,4,29,0.4,27.9,33.5,24.2,3.8,24.1
Sembawang Road,S122,2013,4,30,0.0,28.9,34.1,25.1,4.1,25.2
Sembawang Road,S122,2013,5,1,0.4,27.7,31.9,25.4,3.2,16.6
Sembawang Road,S122,2013,5,2,9.8,27.5,32.3,24.7,3.4,40.0
Sembawang Road,S122,2013,5,3,7.8,27.5,30.8,25.6,3.4,25.9
Sembawang Road,S122,2013,5,4,0.0,28.6,32.3,25.5,5.0,23.8
Sembawang Road,S122,2013,5,5,16.8,26.7,31.8,24.7,2.7,20.2
Sembawang Road,S122,2013,5,6,17.4,27.2,33.6,24.6,3.2,23.8
Sembawang Road,S122,2013,5,7,,,,,,
Sembawang Road,S122,2013,5,8,,,,,,
Sembawang Road,S122,2013,5,9,5.6,27.6,33.4,24.8,4.0,37.8
Sembawang Road,S122,2013,5,10,4.4,27.7,33.3,25.2,3.9,23.0
Sembawang Road,S122,2013,5,11,0.2,28.0,31.6,25.9,4.8,20.9
Sembawang Road,S122,2013,5,12,0.0,29.7,34.8,26.2,4.3,26.3
Sembawang Road,S122,2013,5,13,0.0,30.3,35.0,26.9,5.1,20.2
Sembawang Road,S122,2013,5,14,11.6,28.5,33.3,25.2,3.5,31.3
Sembawang Road,S122,2013,5,15,36.2,28.9,34.7,25.9,4.4,20.9
Sembawang Road,S122,2013,5,16,0.8,27.1,31.8,22.7,5.3,29.5
Sembawang Road,S122,2013,5,17,0.0,28.9,34.9,25.0,3.3,22.0
Sembawang Road,S122,2013,5,18,0.0,27.8,31.2,25.3,4.2,24.8
Sembawang Road,S122,2013,5,19,0.0,28.8,33.6,25.1,3.9,24.1
Sembawang Road,S122,2013,5,20,0.0,,32.8,25.7,3.9,20.9
Sembawang Road,S122,2013,5,21,34.8,27.1,34.3,23.6,3.6,24.8
Sembawang Road,S122,2013,5,22,3.2,26.8,31.7,24.1,3.4,24.1
Sembawang Road,S122,2013,5,23,21.6,27.7,32.9,24.3,3.8,23.4
Sembawang Road,S122,2013,5,24,8.6,26.1,30.1,23.8,3.1,22.7
Sembawang Road,S122,2013,5,25,0.2,28.7,34.0,25.2,4.1,20.9
Sembawang Road,S122,2013,5,26,4.8,27.2,33.0,24.5,3.3,21.6
Sembawang Road,S122,2013,5,27,0.2,,,,4.1,19.1
Sembawang Road,S122,2013,5,28,0.0,,33.2,24.6,3.7,21.6
Sembawang Road,S122,2013,5,29,0.4,27.0,28.4,25.8,3.2,13.0
Sembawang Road,S122,2013,5,30,1.4,27.3,32.9,24.5,4.5,29.9
Sembawang Road,S122,2013,5,31,84.2,27.3,33.6,23.4,3.5,28.4
Sembawang Road,S122,2013,6,1,12.8,27.1,34.1,22.9,3.5,34.2
Sembawang Road,S122,2013,6,2,0.4,28.9,35.4,24.7,3.6,27.4
Sembawang Road,S122,2013,6,3,3.0,28.4,33.7,25.8,3.9,23.4
Sembawang Road,S122,2013,6,4,1.6,27.5,32.9,25.0,4.1,22.0
Sembawang Road,S122,2013,6,5,52.4,26.7,34.1,23.8,3.6,33.8
Sembawang Road,S122,2013,6,6,36.2,27.6,33.9,24.0,3.6,29.2
Sembawang Road,S122,2013,6,7,22.2,27.4,34.3,23.3,3.7,35.3
Sembawang Road,S122,2013,6,8,0.4,27.8,33.8,24.0,3.6,23.0
Sembawang Road,S122,2013,6,9,0.0,27.5,31.5,25.2,4.7,23.4
Sembawang Road,S122,2013,6,10,0.4,28.5,32.8,25.4,4.9,27.4
Sembawang Road,S122,2013,6,11,0.0,28.9,32.7,24.9,5.3,29.2
Sembawang Road,S122,2013,6,12,0.0,29.2,32.8,26.2,5.0,33.8
Sembawang Road,S122,2013,6,13,0.0,29.4,33.9,25.1,4.1,33.1
Sembawang Road,S122,2013,6,14,0.0,29.4,33.9,26.3,3.9,27.0
Sembawang Road,S122,2013,6,15,0.0,29.3,34.0,26.0,4.0,24.1
Sembawang Road,S122,2013,6,16,2.8,29.6,34.3,26.1,4.6,24.1
Sembawang Road,S122,2013,6,17,0.0,28.5,33.0,25.5,3.6,26.6
Sembawang Road,S122,2013,6,18,0.0,29.5,34.5,25.6,4.1,27.4
Sembawang Road,S122,2013,6,19,0.0,29.0,34.2,24.8,4.2,28.8
Sembawang Road,S122,2013,6,20,0.0,28.7,33.7,24.6,3.7,26.3
Sembawang Road,S122,2013,6,21,0.0,28.9,33.9,25.1,3.7,25.2
Sembawang Road,S122,2013,6,22,0.0,29.3,34.8,25.5,3.5,20.9
Sembawang Road,S122,2013,6,23,0.0,29.1,34.3,25.5,4.1,22.3
Sembawang Road,S122,2013,6,24,0.0,30.2,34.9,26.4,4.8,19.4
Sembawang Road,S122,2013,6,25,0.0,29.0,34.8,25.5,4.6,34.2
Sembawang Road,S122,2013,6,26,14.0,27.1,30.9,24.6,3.5,35.6
