station,station_id,year,month,day,rainfall_mm,temp_mean_c,temp_max_c,temp_min_c,wind_mean_kmh,wind_max_kmh
Upper Thomson Road,S08,2013,1,1,1.0,,,,,
Upper Thomson Road,S08,2013,1,2,66.2,,,,,
Upper Thomson Road,S08,2013,1,3,1.0,,,,,
Upper Thomson Road,S08,2013,1,4,16.8,,,,,
Upper Thomson Road,S08,2013,1,5,0.0,,,,,
Upper Thomson Road,S08,2013,1,6,0.0,,,,,
Upper Thomson Road,S08,2013,1,7,0.0,,,,,
Upper Thomson Road,S08,2013,1,8,7.8,,,,,
Upper Thomson Road,S08,2013,1,9,2.8,,,,,
Upper Thomson Road,S08,2013,1,10,0.0,,,,,
Upper Thomson Road,S08,2013,1,11,1.2,,,,,
Upper Thomson Road,S08,2013,1,12,0.8,,,,,
Upper Thomson Road,S08,2013,1,13,8.2,,,,,
Upper Thomson Road,S08,2013,1,14,4.4,,,,,
Upper Thomson Road,S08,2013,1,15,14.4,,,,,
Upper Thomson Road,S08,2013,1,16,0.4,,,,,
Upper Thomson Road,S08,2013,1,17,0.0,,,,,
Upper Thomson Road,S08,2013,1,18,57.4,,,,,
Upper Thomson Road,S08,2013,1,19,31.4,,,,,
Upper Thomson Road,S08,2013,1,20,7.2,,,,,
Upper Thomson Road,S08,2013,1,21,1.2,,,,,
Upper Thomson Road,S08,2013,1,22,7.4,,,,,
Upper Thomson Road,S08,2013,1,23,0.0,,,,,
Upper Thomson Road,S08,2013,1,24,1.4,,,,,
Upper Thomson Road,S08,2013,1,25,0.0,,,,,
Upper Thomson Road,S08,2013,1,26,0.0,,,,,
Upper Thomson Road,S08,2013,1,27,0.0,,,,,
Upper Thomson Road,S08,2013,1,28,0.0,,,,,
Upper Thomson Road,S08,2013,1,29,0.0,,,,,
Upper Thomson Road,S08,2013,1,30,0.0,,,,,
Upper Thomson Road,S08,2013,1,31,0.0,,,,,
Upper Thomson Road,S08,2013,2,1,0.0,,,,,
Upper Thomson Road,S08,2013,2,2,0.0,,,,,
Upper Thomson Road,S08,2013,2,3,18.0,,,,,
Upper Thomson Road,S08,2013,2,4,0.8,,,,,
Upper Thomson Road,S08,2013,2,5,30.4,,,,,
Upper Thomson Road,S08,2013,2,6,39.6,,,,,
Upper Thomson Road,S08,2013,2,7,7.6,,,,,
Upper Thomson Road,S08,2013,2,8,26.0,,,,,
Upper Thomson Road,S08,2013,2,9,64.8,,,,,
Upper Thomson Road,S08,2013,2,10,20.8,,,,,
Upper Thomson Road,S08,2013,2,11,0.6,,,,,
Upper Thomson Road,S08,2013,2,12,10.6,,,,,
Upper Thomson Road,S08,2013,2,13,6.8,,,,,
Upper Thomson Road,S08,2013,2,14,49.0,,,,,
Upper Thomson Road,S08,2013,2,15,48.4,,,,,
Upper Thomson Road,S08,2013,2,16,6.6,,,,,
Upper Thomson Road,S08,2013,2,17,2.2,,,,,
Upper Thomson Road,S08,2013,2,18,22.6,,,,,
Upper Thomson Road,S08,2013,2,19,0.8,,,,,
Upper Thomson Road,S08,2013,2,20,3.8,,,,,
Upper Thomson Road,S08,2013,2,21,0.6,,,,,
Upper Thomson Road,S08,2013,2,22,0.0,,,,,
Upper Thomson Road,S08,2013,2,23,0.0,,,,,
Upper Thomson Road,S08,2013,2,24,0.0,,,,,
Upper Thomson Road,S08,2013,2,25,31.4,,,,,
Upper Thomson Road,S08,2013,2,26,154.8,,,,,
Upper Thomson Road,S08,2013,2,27,6.0,,,,,
Upper Thomson Road,S08,2013,2,28,0.0,,,,,
Upper Thomson Road,S08,2013,3,1,0.8,,,,,
Upper Thomson Road,S08,2013,3,2,31.0,,,,,
Upper Thomson Road,S08,2013,3,3,0.0,,,,,
Upper Thomson Road,S08,2013,3,4,0.4,,,,,
Upper Thomson Road,S08,2013,3,5,0.0,,,,,
Upper Thomson Road,S08,2013,3,6,0.6,,,,,
Upper Thomson Road,S08,2013,3,7,0.0,,,,,
Upper Thomson Road,S08,2013,3,8,0.0,,,,,
Upper Thomson Road,S08,2013,3,9,0.6,,,,,
Upper Thomson Road,S08,2013,3,10,38.8,,,,,
Upper Thomson Road,S08,2013,3,11,0.0,,,,,
Upper Thomson Road,S08,2013,3,12,0.0,,,,,
Upper Thomson Road,S08,2013,3,13,24.4,,,,,
Upper Thomson Road,S08,2013,3,14,12.0,,,,,
Upper Thomson Road,S08,2013,3,15,0.0,,,,,
Upper Thomson Road,S08,2013,3,16,0.0,,,,,
Upper Thomson Road,S08,2013,3,17,11.2,,,,,
Upper Thomson Road,S08,2013,3,18,0.0,,,,,
Upper Thomson Road,S08,2013,3,19,0.0,,,,,
Upper Thomson Road,S08,2013,3,20,0.0,,,,,
Upper Thomson Road,S08,2013,3,21,0.0,,,,,
Upper Thomson Road,S08,2013,3,22,11.2,,,,,
Upper Thomson Road,S08,2013,3,23,4.4,,,,,
Upper Thomson Road,S08,2013,3,24,0.6,,,,,
Upper Thomson Road,S08,2013,3,25,2.0,,,,,
Upper Thomson Road,S08,2013,3,26,28.4,,,,,
Upper Thomson Road,S08,2013,3,27,6.4,,,,,
Upper Thomson Road,S08,2013,3,28,15.6,,,,,
Upper Thomson Road,S08,2013,3,29,3.4,,,,,
Upper Thomson Road,S08,2013,3,30,3.2,,,,,
Upper Thomson Road,S08,2013,3,31,2.4,,,,,
Upper Thomson Road,S08,2013,4,1,38.0,,,,,
Upper Thomson Road,S08,2013,4,2,5.4,,,,,
Upper Thomson Road,S08,2013,4,3,54.6,,,,,
Upper Thomson Road,S08,2013,4,4,3.2,,,,,
Upper Thomson Road,S08,2013,4,5,0.0,,,,,
Upper Thomson Road,S08,2013,4,6,1.8,,,,,
Upper Thomson Road,S08,2013,4,7,0.0,,,,,
Upper Thomson Road,S08,2013,4,8,12.8,,,,,
Upper Thomson Road,S08,2013,4,9,0.0,,,,,
Upper Thomson Road,S08,2013,4,10,0.2,,,,,
Upper Thomson Road,S08,2013,4,11,0.0,,,,,
Upper Thomson Road,S08,2013,4,12,0.0,,,,,
Upper Thomson Road,S08,2013,4,13,10.6,,,,,
Upper Thomson Road,S08,2013,4,14,0.2,,,,,
Upper Thomson Road,S08,2013,4,15,0.0,,,,,
Upper Thomson Road,S08,2013,4,16,31.8,,,,,
Upper Thomson Road,S08,2013,4,17,1.6,,,,,
Upper Thomson Road,S08,2013,4,18,1.6,,,,,
Upper Thomson Road,S08,2013,4,19,1.6,,,,,
Upper Thomson Road,S08,2013,4,20,4.4,,,,,
Upper Thomson Road,S08,2013,4,21,15.0,,,,,
Upper Thomson Road,S08,2013,4,22,6.8,,,,,
Upper Thomson Road,S08,2013,4,23,2.0,,,,,
Upper Thomson Road,S08,2013,4,24,0.0,,,,,
Upper Thomson Road,S08,2013,4,25,25.4,,,,,
Upper Thomson Road,S08,2013,4,26,0.6,,,,,
Upper Thomson Road,S08,2013,4,27,0.4,,,,,
Upper Thomson Road,S08,2013,4,28,10.6,,,,,
Upper Thomson Road,S08,2013,4,29,0.0,,,,,
Upper Thomson Road,S08,2013,4,30,0.0,,,,,
Upper Thomson Road,S08,2013,5,1,0.0,,,,,
Upper Thomson Road,S08,2013,5,2,5.0,,,,,
Upper Thomson Road,S08,2013,5,3,0.6,,,,,
Upper Thomson Road,S08,2013,5,4,0.0,,,,,
Upper Thomson Road,S08,2013,5,5,80.6,,,,,
Upper Thomson Road,S08,2013,5,6,10.2,,,,,
Upper Thomson Road,S08,2013,5,7,36.4,,,,,
Upper Thomson Road,S08,2013,5,8,7.4,,,,,
Upper Thomson Road,S08,2013,5,9,5.0,,,,,
Upper Thomson Road,S08,2013,5,10,8.0,,,,,
Upper Thomson Road,S08,2013,5,11,0.2,,,,,
Upper Thomson Road,S08,2013,5,12,0.0,,,,,
Upper Thomson Road,S08,2013,5,13,0.0,,,,,
Upper Thomson Road,S08,2013,5,14,24.0,,,,,
Upper Thomson Road,S08,2013,5,15,22.4,,,,,
Upper Thomson Road,S08,2013,5,16,1.8,,,,,
Upper Thomson Road,S08,2013,5,17,0.0,,,,,
