planning_area,subzone,total,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_89,age_90_over,elderly_pop,elderly_pct
QUEENSTOWN,GHIM MOH,13850,850,660,560,500,590,790,1310,1110,910,890,800,860,820,800,910,590,470,290,130,3190,0.2303
QUEENSTOWN,HOLLAND DRIVE,12680,350,350,360,470,540,800,830,730,910,1070,970,950,850,860,910,670,570,300,180,3490,0.2752
QUEENSTOWN,KENT RIDGE,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
QUEENSTOWN,MARGARET DRIVE,16090,1120,1200,800,570,590,860,1260,1990,1570,1130,890,850,790,740,690,380,330,210,130,2480,0.1541
QUEENSTOWN,MEI CHIN,15570,460,540,700,800,920,1120,960,870,980,1190,1250,1300,1220,1030,780,510,480,300,170,3270,0.21
QUEENSTOWN,NATIONAL UNIVERSITY OF SPORE,240,0,10,10,10,120,30,20,10,10,20,10,10,0,0,0,0,0,0,0,0,0.0
QUEENSTOWN,ONE NORTH,720,40,60,50,30,20,30,40,100,80,100,80,40,20,20,10,0,0,0,0,30,0.0417
QUEENSTOWN,PASIR PANJANG 1,4510,160,190,240,260,270,350,310,340,410,410,350,340,280,240,180,80,60,40,10,610,0.1353
QUEENSTOWN,PASIR PANJANG 2,3060,90,130,140,160,200,250,180,180,210,210,240,250,230,280,160,70,50,10,20,590,0.1928
QUEENSTOWN,PORT,120,0,0,10,0,10,10,10,10,10,0,10,10,10,10,10,0,0,0,0,20,0.1667
QUEENSTOWN,QUEENSWAY,270,10,0,10,10,20,20,20,20,20,30,30,20,20,20,20,10,0,0,0,50,0.1852
QUEENSTOWN,SINGAPORE POLYTECHNIC,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
QUEENSTOWN,TANGLIN HALT,10590,400,390,400,400,390,580,730,720,850,850,750,770,740,660,680,470,420,270,140,2640,0.2493
RIVER VALLEY,INSTITUTION HILL,3150,200,270,190,140,120,130,180,350,420,350,220,140,120,130,110,40,30,10,10,330,0.1048
RIVER VALLEY,LEONIE HILL,3120,120,160,180,180,130,180,190,240,300,390,300,220,190,130,110,50,30,20,10,350,0.1122
RIVER VALLEY,ONE TREE HILL,2070,70,80,110,120,110,110,100,140,150,190,210,170,150,110,100,70,40,20,20,360,0.1739
RIVER VALLEY,OXLEY,1490,50,70,70,70,50,100,100,110,140,130,120,110,90,70,80,50,30,10,20,260,0.1745
RIVER VALLEY,PATERSON,240,10,20,10,10,10,10,20,30,30,30,20,20,10,10,10,0,0,0,0,20,0.0833
ROCHOR,BENCOOLEN,1310,40,40,40,40,60,80,100,90,100,110,110,110,110,100,70,40,30,30,30,300,0.229
ROCHOR,FARRER PARK,2660,80,90,120,120,120,150,180,200,230,240,200,170,200,190,140,80,50,50,40,550,0.2068
ROCHOR,KAMPONG GLAM,120,0,0,0,0,0,10,10,10,10,10,0,10,10,10,0,0,0,10,20,40,0.3333
ROCHOR,LITTLE INDIA,3270,80,70,120,140,180,210,190,180,230,260,230,250,290,260,220,140,100,60,60,840,0.2569
ROCHOR,MACKENZIE,110,0,10,0,10,0,10,10,20,20,10,10,0,0,0,0,0,0,0,0,0,0.0
ROCHOR,MOUNT EMILY,1630,90,90,70,60,40,90,170,230,220,200,100,80,70,50,30,10,10,10,10,120,0.0736
ROCHOR,SELEGIE,210,0,10,10,10,10,10,10,20,30,10,10,10,10,10,10,10,10,10,10,60,0.2857
ROCHOR,SUNGEI ROAD,2050,70,90,70,100,110,110,120,130,110,140,150,170,160,150,150,100,70,40,20,530,0.2585
ROCHOR,VICTORIA,1760,40,30,40,40,70,90,130,110,120,120,120,150,160,140,160,100,80,30,30,540,0.3068
SELETAR,SELETAR,280,10,10,20,20,30,10,0,10,20,40,40,20,10,10,10,0,10,0,0,30,0.1071
SELETAR,SELETAR AEROSPACE PARK,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
SEMBAWANG,ADMIRALTY,13920,700,860,960,880,800,820,990,1210,1220,1300,980,940,820,560,380,230,150,100,40,1460,0.1049
SEMBAWANG,SEMBAWANG CENTRAL,34800,1830,1940,2120,2210,2250,2570,2810,2790,2840,3100,2600,2500,2130,1350,780,440,310,170,90,3140,0.0902
SEMBAWANG,SEMBAWANG EAST,17340,2070,850,800,780,780,2100,2690,1460,1290,1190,1000,840,540,410,260,140,80,50,20,960,0.0554
SEMBAWANG,SEMBAWANG NORTH,25540,1080,1520,1770,1810,1580,1520,1610,2140,2260,2390,1940,1800,1600,1130,670,340,220,120,60,2540,0.0995
SEMBAWANG,SEMBAWANG SPRINGS,9090,560,550,640,580,460,550,940,860,870,810,640,470,320,270,210,140,120,70,60,870,0.0957
SEMBAWANG,SEMBAWANG STRAITS,1910,60,100,120,140,160,140,100,110,140,160,160,180,120,80,70,40,20,10,10,230,0.1204
SEMBAWANG,SENOKO NORTH,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
SEMBAWANG,SENOKO SOUTH,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
SENGKANG,ANCHORVALE,48120,3790,3850,3290,2620,2060,2470,4690,5240,4520,4160,2660,2370,2290,1730,1200,610,330,160,90,4120,0.0856
SENGKANG,COMPASSVALE,20960,1670,1830,1450,900,630,990,1980,2760,2590,1640,970,900,830,740,540,280,180,60,30,1830,0.0873
SENGKANG,FERNVALE,58800,4830,5270,3970,2780,2390,2660,5430,7280,6060,4590,3320,2800,2400,1910,1410,750,500,290,170,5030,0.0855
SENGKANG,RIVERVALE,59700,2500,3060,3670,3840,4170,4090,4030,4300,4520,5200,4540,4630,4220,3030,1970,880,570,310,170,6930,0.1161
SENGKANG,SENGKANG TOWN CENTRE,61790,3590,3590,3550,3490,3940,4110,5380,5530,4910,4800,4450,4260,3890,2660,1700,870,590,310,200,6330,0.1024
SENGKANG,SENGKANG WEST,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
SERANGOON,LORONG CHUAN,8490,290,390,480,570,610,640,490,450,530,660,710,730,640,450,340,170,180,100,80,1320,0.1555
SERANGOON,SELETAR HILLS,14700,450,640,760,880,1100,1150,860,730,870,1100,1100,1200,1140,970,750,430,320,170,90,2730,0.1857
SERANGOON,SERANGOON CENTRAL,24760,700,780,880,1190,1400,2000,1920,1640,1440,1730,1670,1970,2330,2000,1430,700,550,260,150,5090,0.2056
SERANGOON,SERANGOON GARDEN,36080,1040,1170,1530,1800,2240,2650,2300,1950,2190,2510,2510,2830,3240,2890,2200,1200,910,560,360,8120,0.2251
SERANGOON,SERANGOON NORTH,15940,480,610,800,950,1260,1450,1020,940,1000,1060,1290,1470,1340,1000,620,300,200,110,40,2270,0.1424
SERANGOON,SERANGOON NORTH IND ESTATE,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
SERANGOON,UPPER PAYA LEBAR,16920,590,780,740,780,900,1430,1430,1210,1210,1160,1110,1210,1390,1100,880,440,310,170,90,2990,0.1767
SINGAPORE RIVER,BOAT QUAY,130,0,0,0,0,0,10,0,10,10,10,10,10,10,10,10,10,10,0,0,40,0.3077
SINGAPORE RIVER,CLARKE QUAY,130,10,10,10,0,10,10,10,10,10,20,10,10,0,0,0,0,0,0,10,10,0.0769
SINGAPORE RIVER,ROBERTSON QUAY,3010,200,240,180,120,100,110,170,330,390,360,250,180,120,90,80,50,30,10,10,270,0.0897
SOUTHERN ISLANDS,SENTOSA,1940,110,140,110,100,90,90,90,150,170,230,210,190,120,70,30,20,10,0,0,130,0.067
SUNGEI KADUT,GALI BATU,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
SUNGEI KADUT,KRANJI,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
SUNGEI KADUT,PANG SUA,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
SUNGEI KADUT,RESERVOIR VIEW,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
SUNGEI KADUT,TURF CLUB,670,20,30,30,30,50,50,40,40,40,50,50,50,50,40,40,20,30,10,10,150,0.2239
TAMPINES,SIMEI,39450,1360,1710,1960,2120,2660,3210,2540,2650,2850,2990,2950,3360,3190,2450,1660,720,560,290,220,5900,0.1496
TAMPINES,TAMPINES EAST,130980,5390,5400,5910,6680,9230,11060,9400,8850,8150,8350,9710,11350,11330,8630,5510,2570,1870,1040,580,20200,0.1542
TAMPINES,TAMPINES NORTH,8040,1150,530,260,240,200,1060,1620,730,440,290,300,240,260,250,220,80,80,70,40,740,0.092
TAMPINES,TAMPINES WEST,79670,3790,3780,3800,4150,5340,6340,6320,5820,5360,5320,5640,6390,6410,4930,3090,1420,970,540,270,11220,0.1408
TAMPINES,XILIN,1760,40,70,70,100,160,170,120,70,80,110,130,230,180,110,60,20,20,10,0,220,0.125
TANGLIN,CHATSWORTH,6890,340,440,410,310,270,290,420,610,720,780,600,420,350,310,280,170,90,50,30,930,0.135
TANGLIN,NASSIM,9520,500,810,630,540,440,430,480,680,860,940,710,620,540,470,400,200,140,80,70,1360,0.1429
TANGLIN,RIDOUT,1520,80,100,80,70,70,80,90,100,120,120,120,110,100,90,80,40,30,20,20,280,0.1842
TANGLIN,TYERSALL,3880,160,240,250,190,210,210,220,230,300,360,330,290,260,220,160,110,80,50,30,650,0.1675
TENGAH,FOREST HILL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TOA PAYOH,BOON TECK,14660,580,570,570,660,770,1000,1080,860,780,1010,1030,1170,1190,980,830,600,530,290,180,3410,0.2326
TOA PAYOH,BRADDELL,9810,310,430,470,460,560,700,580,590,670,730,720,740,740,650,530,360,310,160,110,2120,0.2161
TOA PAYOH,JOO SENG,8150,360,370,410,340,390,550,700,650,640,660,550,560,530,480,400,220,180,100,70,1450,0.1779
TOA PAYOH,KIM KEAT,7960,200,240,300,310,440,630,520,440,510,580,560,640,780,600,510,300,230,120,60,1820,0.2286
TOA PAYOH,LORONG 8 TOA PAYOH,7160,140,200,240,310,410,500,380,370,430,530,550,610,620,530,480,350,280,160,80,1880,0.2626
TOA PAYOH,PEI CHUN,10360,260,370,450,530,560,600,520,560,700,850,890,870,870,660,610,440,350,180,90,2330,0.2249
TOA PAYOH,POTONG PASIR,11720,360,450,460,520,510,730,840,820,870,940,810,840,980,960,780,390,260,160,50,2600,0.2218
TOA PAYOH,SENNETT,7190,420,380,350,350,310,600,770,570,500,530,370,420,430,370,320,180,140,90,90,1190,0.1655
TOA PAYOH,TOA PAYOH CENTRAL,28020,1060,1430,1390,1300,1490,1800,1690,2000,2330,2350,2090,2030,1920,1510,1320,900,760,430,220,5140,0.1834
TOA PAYOH,TOA PAYOH WEST,14360,560,500,510,530,610,880,1130,960,950,1090,1000,1100,1090,950,910,610,580,270,140,3460,0.2409
TOA PAYOH,WOODLEIGH,2450,100,130,160,160,140,180,150,190,190,220,200,160,170,140,90,30,20,20,10,310,0.1265
TUAS,TUAS BAY,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TUAS,TUAS NORTH,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TUAS,TUAS PROMENADE,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TUAS,TUAS VIEW,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TUAS,TUAS VIEW EXTENSION,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
WESTERN ISLANDS,JURONG ISLAND AND BUKOM,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
WESTERN WATER CATCHMENT,MURAI,640,30,50,20,20,130,50,30,60,70,40,30,50,50,10,0,0,0,0,0,10,0.0156
WOODLANDS,GREENWOOD PARK,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
WOODLANDS,MIDVIEW,35270,1590,1640,1870,2480,3460,3220,2480,2290,2100,2520,3270,2960,2100,1400,830,470,320,160,110,3290,0.0933
WOODLANDS,NORTH COAST,12100,300,350,470,650,970,1000,700,640,700,850,1030,1210,1030,800,670,340,230,120,50,2210,0.1826
WOODLANDS,SENOKO WEST,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
WOODLANDS,WOODGROVE,33790,980,1330,1740,2280,3320,3210,2060,1930,2170,2610,3300,3000,2350,1500,920,480,340,190,110,3540,0.1048
WOODLANDS,WOODLANDS EAST,98980,4960,5280,6010,6880,8020,7660,7520,7270,7460,8490,8020,7510,5710,3680,2220,1030,720,380,170,8200,0.0828
WOODLANDS,WOODLANDS REGIONAL CENTRE,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
WOODLANDS,WOODLANDS SOUTH,41000,2100,2620,2850,2990,3080,2630,2880,3420,3540,3590,3190,2600,2020,1510,1000,480,290,170,60,3510,0.0856
WOODLANDS,WOODLANDS WEST,33910,1560,1320,1510,1830,2590,3010,2530,2170,1930,2250,2740,2920,2680,1940,1340,730,520,250,100,4880,0.1439
YISHUN,KHATIB,10250,310,320,380,460,590,940,800,640,590,650,740,1010,1040,770,510,250,130,90,40,1790,0.1746
YISHUN,LOWER SELETAR,18660,2220,1690,1160,940,770,1150,2740,2220,1490,1260,870,730,530,350,260,120,90,40,30,890,0.0477
YISHUN,NEE SOON,890,30,50,50,60,50,50,50,40,60,90,80,90,60,50,40,30,10,10,10,150,0.1685
YISHUN,NORTHLAND,28000,910,1030,1350,1510,1910,2320,1990,1790,1920,1940,2100,2640,2480,1790,1140,540,370,180,100,4120,0.1471
YISHUN,SPRINGLEAF,4370,130,170,250,300,320,410,250,180,260,310,290,370,350,290,240,120,80,30,20,780,0.1785
YISHUN,YISHUN CENTRAL,2620,100,120,150,130,170,220,200,210,230,220,190,210,170,150,80,50,30,20,10,340,0.1298
YISHUN,YISHUN EAST,60670,4270,4410,3270,2970,3300,4220,5420,6320,5050,4090,3850,4190,3440,2590,1670,730,510,250,120,5870,0.0968
YISHUN,YISHUN SOUTH,42240,1930,1690,1920,2090,2500,3600,3720,2940,2810,3010,2890,3690,3250,2570,1740,830,580,320,170,6210,0.147
YISHUN,YISHUN WEST,53910,1780,1990,2440,2790,3410,3810,3590,3600,3810,4230,4330,4840,4500,3580,2320,1280,880,480,240,8780,0.1629
