planning_area,subzone,total,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_89,age_90_over,elderly_pop,elderly_pct
BUKIT MERAH,EVERTON PARK,7810,220,290,310,310,330,470,510,540,590,680,570,520,580,620,500,310,250,130,80,1890,0.242
BUKIT MERAH,HENDERSON HILL,13320,440,450,490,530,660,860,930,780,780,890,1010,1050,1140,970,890,550,500,280,150,3340,0.2508
BUKIT MERAH,KAMPONG TIONG BAHRU,9010,220,240,340,350,430,530,490,490,540,650,690,720,780,790,700,420,360,170,100,2540,0.2819
BUKIT MERAH,MARITIME SQUARE,3620,200,240,190,170,110,140,180,360,430,400,310,240,190,140,120,70,70,50,40,490,0.1354
BUKIT MERAH,REDHILL,10620,490,640,660,500,470,630,650,750,1080,900,790,730,620,510,440,270,230,120,140,1710,0.161
BUKIT MERAH,SINGAPORE GENERAL HOSPITAL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BUKIT MERAH,TELOK BLANGAH DRIVE,19320,1190,870,740,710,710,1090,2010,1680,1550,1390,1180,1230,1200,1150,1110,660,480,260,120,3780,0.1957
BUKIT MERAH,TELOK BLANGAH RISE,12150,350,390,430,510,580,740,660,680,840,920,850,860,1030,1120,970,580,360,180,100,3310,0.2724
BUKIT MERAH,TELOK BLANGAH WAY,9230,240,340,380,350,380,480,460,540,690,770,680,740,820,710,620,420,310,180,110,2350,0.2546
BUKIT MERAH,TIONG BAHRU,12890,690,670,560,430,440,720,1080,1120,1250,1020,800,730,790,810,690,440,340,170,150,2600,0.2017
BUKIT MERAH,TIONG BAHRU STATION,15120,560,690,830,700,670,1050,1010,1060,1230,1250,1110,1070,1050,750,780,480,440,230,140,2820,0.1865
BUKIT PANJANG,BANGKIT,22270,680,730,930,1190,1520,1900,1560,1230,1340,1540,1730,2190,2020,1440,970,580,390,230,120,3730,0.1675
BUKIT PANJANG,DAIRY FARM,6940,310,390,440,510,450,470,460,440,560,640,560,550,430,310,210,90,70,30,20,730,0.1052
BUKIT PANJANG,FAJAR,27820,1530,1680,1580,1590,1720,2140,2350,2240,1970,1980,1850,2140,1820,1380,870,470,310,150,70,3250,0.1168
BUKIT PANJANG,JELEBU,31310,930,1090,1410,1840,2440,2750,2190,1740,1840,2380,2600,2890,2660,1930,1230,620,460,220,110,4570,0.146
BUKIT PANJANG,NATURE RESERVE,3850,150,190,240,250,280,260,200,220,260,370,350,340,270,190,150,60,60,20,20,500,0.1299
BUKIT PANJANG,SAUJANA,25920,1520,1660,1460,1510,1740,1820,2130,2300,1840,1870,1710,1880,1840,1230,720,290,200,120,80,2640,0.1019
BUKIT PANJANG,SENJA,20170,1130,1360,1260,1260,1150,1190,1570,1930,1570,1730,1320,1260,1240,890,640,290,190,120,70,2200,0.1091
BUKIT TIMAH,ANAK BUKIT,21870,700,1080,1190,1310,1430,1660,1310,1260,1370,1640,1600,1580,1730,1400,1080,650,470,270,150,4020,0.1838
BUKIT TIMAH,CORONATION ROAD,6690,300,500,490,440,380,330,330,440,540,610,480,400,360,330,280,220,150,80,50,1110,0.1659
BUKIT TIMAH,FARRER COURT,6180,300,490,440,370,280,290,350,470,530,630,490,380,290,240,260,140,110,70,40,860,0.1392
BUKIT TIMAH,HILLCREST,9470,440,780,610,600,560,420,410,650,760,850,740,640,560,390,400,260,210,130,70,1460,0.1542
BUKIT TIMAH,HOLLAND ROAD,10840,460,780,800,770,670,510,500,650,900,1080,920,700,560,500,410,260,200,100,70,1540,0.1421
BUKIT TIMAH,LEEDON PARK,6440,300,320,400,370,360,360,350,400,500,570,580,440,390,350,360,180,110,60,50,1110,0.1724
BUKIT TIMAH,SWISS CLUB,5340,240,320,340,330,300,330,280,360,400,430,420,350,320,300,210,150,120,80,60,920,0.1723
BUKIT TIMAH,ULU PANDAN,11020,400,630,680,650,640,660,570,580,800,930,820,830,740,710,660,310,230,130,60,2100,0.1906
CHANGI- TOTAL,CHANGI AIRPORT,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
CHANGI- TOTAL,CHANGI POINT,540,10,10,20,20,40,30,20,20,30,50,60,60,60,50,30,20,10,0,10,120,0.2222
CHANGI- TOTAL,CHANGI WEST,1300,120,130,130,80,60,70,120,130,140,120,80,40,40,20,20,10,0,10,0,60,0.0462
CHOA CHU KANG,CHOA CHU KANG CENTRAL,22530,820,1090,1330,1430,1790,1950,1360,1470,1650,1810,1970,1990,1490,1000,650,340,220,110,70,2390,0.1061
CHOA CHU KANG,CHOA CHU KANG NORTH,31930,850,1120,1640,2400,3510,3060,1660,1570,1640,2280,3400,3230,2270,1410,850,430,330,220,80,3320,0.104
CHOA CHU KANG,KEAT HONG,38180,3540,2660,2060,2060,2310,3260,4690,3480,2650,2430,2430,2280,1730,1120,700,330,240,150,60,2600,0.0681
CHOA CHU KANG,PENG SIANG,34720,1660,1750,1760,2040,2570,2980,2750,2650,2300,2430,2670,2880,2360,1730,1130,450,310,200,110,3930,0.1132
CHOA CHU KANG,TECK WHYE,24320,760,760,1010,1350,1910,2310,1600,1370,1260,1640,1910,2440,2070,1570,1040,620,400,200,110,3940,0.162
CHOA CHU KANG,YEW TEE,40390,1360,1890,2400,2810,3370,3060,2390,2660,3140,3560,3700,3330,2840,1760,1010,510,350,160,100,3890,0.0963
CLEMENTI,CLEMENTI CENTRAL,14000,480,610,700,660,710,880,830,910,1050,1170,970,990,990,1000,910,510,340,190,110,3060,0.2186
CLEMENTI,CLEMENTI NORTH,28810,1390,1220,1160,1130,1290,1540,2190,2350,2210,2160,1880,1980,1840,2040,1970,1030,820,390,230,6480,0.2249
CLEMENTI,CLEMENTI WEST,15260,480,630,740,760,840,810,820,1010,1230,1270,1210,1150,1210,1170,960,470,310,140,70,3120,0.2045
CLEMENTI,CLEMENTI WOODS,16000,680,740,800,810,830,870,1060,1250,1190,1200,1110,1180,1060,1060,1000,530,380,170,90,3230,0.2019
CLEMENTI,FABER,5360,270,430,440,320,280,290,370,470,540,500,360,290,220,220,160,110,60,40,20,610,0.1138
CLEMENTI,PANDAN,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
CLEMENTI,SUNSET WAY,5650,170,230,270,310,320,360,330,320,370,400,440,420,430,470,380,200,150,70,30,1300,0.2301
CLEMENTI,TOH TUCK,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
CLEMENTI,WEST COAST,6870,290,480,550,470,390,370,320,480,660,720,550,400,340,310,290,130,90,40,20,880,0.1281
DOWNTOWN CORE,ANSON,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
DOWNTOWN CORE,BUGIS,890,20,30,10,30,40,60,60,90,70,70,70,60,60,70,70,30,30,10,20,230,0.2584
DOWNTOWN CORE,CECIL,260,10,10,10,0,10,20,40,60,30,20,20,10,10,10,0,0,0,0,0,10,0.0385
DOWNTOWN CORE,CENTRAL SUBZONE,880,40,40,30,40,20,70,90,110,110,130,70,60,40,30,20,10,0,0,0,60,0.0682
DOWNTOWN CORE,CITY HALL,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
DOWNTOWN CORE,MARINA CENTRE,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
DOWNTOWN CORE,NICOLL,290,10,10,10,10,10,30,20,20,30,20,30,30,30,10,20,0,0,0,0,30,0.1034
DOWNTOWN CORE,PHILLIP,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
DOWNTOWN CORE,RAFFLES PLACE,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
DOWNTOWN CORE,TANJONG PAGAR,670,20,20,10,10,20,50,100,100,80,70,40,50,30,20,20,10,10,0,30,90,0.1343
GEYLANG,ALJUNIED,39990,1250,1500,1730,1670,1920,2840,3000,2960,2980,3260,2860,3070,3120,2620,2080,1170,980,580,390,7820,0.1955
